Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (synonym)	EC number
B1XC53	reviewed	PDXA_ECODH	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA ECDH10B_0053	Escherichia coli (strain K12 / DH10B)	329		ECDH10B_0053	pdxA		1.1.1.262
B1XC64	reviewed	MRAY_ECODH	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY ECDH10B_0069	Escherichia coli (strain K12 / DH10B)	360		ECDH10B_0069	mraY		2.7.8.13
B1XC67	reviewed	MURG_ECODH	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG ECDH10B_0072	Escherichia coli (strain K12 / DH10B)	355		ECDH10B_0072	murG		2.4.1.227
B1XC68	reviewed	MURC_ECODH	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC ECDH10B_0073	Escherichia coli (strain K12 / DH10B)	491		ECDH10B_0073	murC		6.3.2.8
B1XC73	reviewed	LPXC_ECODH	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC ECDH10B_0078	Escherichia coli (strain K12 / DH10B)	305		ECDH10B_0078	lpxC		3.5.1.108
B1XC75	reviewed	SECA_ECODH	Protein translocase subunit SecA (EC 7.4.2.8)	secA ECDH10B_0080	Escherichia coli (strain K12 / DH10B)	901		ECDH10B_0080	secA		7.4.2.8
B1XC80	reviewed	GUAC_ECODH	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC ECDH10B_0085	Escherichia coli (strain K12 / DH10B)	347		ECDH10B_0085	guaC		1.7.1.7
B1XC95	reviewed	SPED_ECODH	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speD ECDH10B_0100	Escherichia coli (strain K12 / DH10B)	264		ECDH10B_0100	speD		4.1.1.50
B1XC96	reviewed	SPEE_ECODH	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE ECDH10B_0101	Escherichia coli (strain K12 / DH10B)	288		ECDH10B_0101	speE		2.5.1.16
B1XCA6	reviewed	PAND_ECODH	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD ECDH10B_0111	Escherichia coli (strain K12 / DH10B)	126		ECDH10B_0111	panD		4.1.1.11
B1XCA8	reviewed	PANC_ECODH	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC ECDH10B_0113	Escherichia coli (strain K12 / DH10B)	283		ECDH10B_0113	panC		6.3.2.1
B1XCA9	reviewed	PANB_ECODH	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB ECDH10B_0114	Escherichia coli (strain K12 / DH10B)	264		ECDH10B_0114	panB		2.1.2.11
B1XCH3	reviewed	TTCA_ECODH	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	ttcA ECDH10B_1465	Escherichia coli (strain K12 / DH10B)	311		ECDH10B_1465	ttcA		2.8.1.-
B1XCM5	reviewed	SYA_ECODH	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS ECDH10B_2865	Escherichia coli (strain K12 / DH10B)	876		ECDH10B_2865	alaS		6.1.1.7
B1XCN6	reviewed	NORR_ECODH	Anaerobic nitric oxide reductase transcription regulator NorR	norR ECDH10B_2877	Escherichia coli (strain K12 / DH10B)	504		ECDH10B_2877	norR		
B1XCN7	reviewed	NORV_ECODH	Anaerobic nitric oxide reductase flavorubredoxin (FlRd) (FlavoRb)	norV flrD ECDH10B_2878	Escherichia coli (strain K12 / DH10B)	479		ECDH10B_2878	norV	flrD	
B1XCN8	reviewed	NORW_ECODH	Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-) (Flavorubredoxin reductase) (FlRd-reductase) (FlavoRb reductase)	norW flrR ECDH10B_2879	Escherichia coli (strain K12 / DH10B)	377		ECDH10B_2879	norW	flrR	1.18.1.-
B1XCR9	reviewed	PIMT_ECODH	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm ECDH10B_2911	Escherichia coli (strain K12 / DH10B)	208		ECDH10B_2911	pcm		2.1.1.77
B1XCS0	reviewed	SURE_ECODH	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase)	surE ECDH10B_2912	Escherichia coli (strain K12 / DH10B)	253		ECDH10B_2912	surE		3.1.3.5; 3.1.3.6; 3.6.1.11
B1XCS1	reviewed	TRUD_ECODH	tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	truD ECDH10B_2913	Escherichia coli (strain K12 / DH10B)	349		ECDH10B_2913	truD		5.4.99.27
B1XCS2	reviewed	ISPF_ECODH	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF ECDH10B_2914	Escherichia coli (strain K12 / DH10B)	159		ECDH10B_2914	ispF		4.6.1.12
B1XCS6	reviewed	CYSC_ECODH	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	cysC ECDH10B_2918	Escherichia coli (strain K12 / DH10B)	201		ECDH10B_2918	cysC		2.7.1.25
B1XCS7	reviewed	CYSN_ECODH	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)	cysN ECDH10B_2919	Escherichia coli (strain K12 / DH10B)	475		ECDH10B_2919	cysN		2.7.7.4
B1XCV6	reviewed	NRFA_ECODH	Cytochrome c-552 (EC 1.7.2.2) (Ammonia-forming cytochrome c nitrite reductase) (Cytochrome c nitrite reductase)	nrfA ECDH10B_4260	Escherichia coli (strain K12 / DH10B)	478		ECDH10B_4260	nrfA		1.7.2.2
B1XD24	reviewed	GSA_ECODH	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL ECDH10B_0134	Escherichia coli (strain K12 / DH10B)	426		ECDH10B_0134	hemL		5.4.3.8
B1XD25	reviewed	CLCA_ECODH	H(+)/Cl(-) exchange transporter ClcA	clcA eriC ECDH10B_0135	Escherichia coli (strain K12 / DH10B)	473		ECDH10B_0135	clcA	eriC	
B1XD29	reviewed	MTNN_ECODH	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN ECDH10B_0139	Escherichia coli (strain K12 / DH10B)	232		ECDH10B_0139	mtnN		3.2.2.9
B1XD36	reviewed	GLND_ECODH	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD ECDH10B_0146	Escherichia coli (strain K12 / DH10B)	890		ECDH10B_0146	glnD		2.7.7.59; 3.1.4.-
B1XD49	reviewed	FABZ_ECODH	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ ECDH10B_0160	Escherichia coli (strain K12 / DH10B)	151		ECDH10B_0160	fabZ		4.2.1.59
B1XD52	reviewed	RNH2_ECODH	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB ECDH10B_0163	Escherichia coli (strain K12 / DH10B)	198		ECDH10B_0163	rnhB		3.1.26.4
B1XD54	reviewed	ACCA_ECODH	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA ECDH10B_0165	Escherichia coli (strain K12 / DH10B)	319		ECDH10B_0165	accA		2.1.3.15
B1XD78	reviewed	RNH_ECODH	Ribonuclease H (RNase H) (EC 3.1.26.4)	rnhA ECDH10B_0195	Escherichia coli (strain K12 / DH10B)	155		ECDH10B_0195	rnhA		3.1.26.4
B1XD84	reviewed	GMHA_ECODH	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA ECDH10B_0204	Escherichia coli (strain K12 / DH10B)	192		ECDH10B_0204	gmhA		5.3.1.28
B1XDF5	reviewed	ABDH_ECODH	Gamma-aminobutyraldehyde dehydrogenase (ABALDH) (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (5-aminopentanal dehydrogenase) (EC 1.2.1.-)	patD ECDH10B_1574	Escherichia coli (strain K12 / DH10B)	474		ECDH10B_1574	patD		1.2.1.-; 1.2.1.19
B1XDH5	reviewed	CYSH_ECODH	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	cysH ECDH10B_2930	Escherichia coli (strain K12 / DH10B)	244		ECDH10B_2930	cysH		1.8.4.8
B1XDI9	reviewed	ENO_ECODH	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno ECDH10B_2946	Escherichia coli (strain K12 / DH10B)	432		ECDH10B_2946	eno		4.2.1.11
B1XDK3	reviewed	QUEF_ECODH	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF ECDH10B_2963	Escherichia coli (strain K12 / DH10B)	282		ECDH10B_2963	queF		1.7.1.13
B1XDK7	reviewed	XNI_ECODH	Flap endonuclease Xni (FEN) (EC 3.1.-.-)	xni ygdG ECDH10B_2967	Escherichia coli (strain K12 / DH10B)	251		ECDH10B_2967	xni	ygdG	3.1.-.-
B1XDL1	reviewed	FUCI_ECODH	L-fucose isomerase (EC 5.3.1.25) (6-deoxy-L-galactose isomerase) (FucIase)	fucI ECDH10B_2971	Escherichia coli (strain K12 / DH10B)	591		ECDH10B_2971	fucI		5.3.1.25
B1XDL3	reviewed	FUCM_ECODH	L-fucose mutarotase (EC 5.1.3.29) (Fucose 1-epimerase) (Type-2 mutarotase)	fucU ECDH10B_2973	Escherichia coli (strain K12 / DH10B)	140		ECDH10B_2973	fucU		5.1.3.29
B1XDL5	reviewed	RLMM_ECODH	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)	rlmM ECDH10B_2975	Escherichia coli (strain K12 / DH10B)	366		ECDH10B_2975	rlmM		2.1.1.186
B1XDP2	reviewed	AAS_ECODH	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]	aas ECDH10B_3006	Escherichia coli (strain K12 / DH10B)	719		ECDH10B_3006	aas		2.3.1.40; 6.2.1.20
B1XDP7	reviewed	CH60_ECODH	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	groEL groL ECDH10B_4336	Escherichia coli (strain K12 / DH10B)	548		ECDH10B_4336	groEL	groL	5.6.1.7
B1XDQ9	reviewed	EPMA_ECODH	Elongation factor P--(R)-beta-lysine ligase (EF-P--(R)-beta-lysine ligase) (EC 6.3.1.-) (EF-P post-translational modification enzyme A) (EF-P-lysine lysyltransferase)	epmA yjeA ECDH10B_4350	Escherichia coli (strain K12 / DH10B)	325		ECDH10B_4350	epmA	yjeA	6.3.1.-
B1XDR4	reviewed	PSD_ECODH	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd ECDH10B_4355	Escherichia coli (strain K12 / DH10B)	322		ECDH10B_4355	psd		4.1.1.65
B1XDR5	reviewed	RSGA_ECODH	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA ECDH10B_4356	Escherichia coli (strain K12 / DH10B)	350		ECDH10B_4356	rsgA		3.6.1.-
B1XDS2	reviewed	MIAA_ECODH	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA ECDH10B_4366	Escherichia coli (strain K12 / DH10B)	316		ECDH10B_4366	miaA		2.5.1.75
B1XDS8	reviewed	PURA_ECODH	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA ECDH10B_4372	Escherichia coli (strain K12 / DH10B)	432		ECDH10B_4372	purA		6.3.4.4
B1XDU7	reviewed	ULAD_ECODH	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	ulaD ECDH10B_4391	Escherichia coli (strain K12 / DH10B)	216		ECDH10B_4391	ulaD		4.1.1.85
B1XDU9	reviewed	ULAF_ECODH	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase)	ulaF ECDH10B_4393	Escherichia coli (strain K12 / DH10B)	228		ECDH10B_4393	ulaF		5.1.3.4
B1XDY5	reviewed	PROB_ECODH	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB ECDH10B_0224	Escherichia coli (strain K12 / DH10B)	367		ECDH10B_0224	proB		2.7.2.11
B1XE52	reviewed	BETA_ECODH	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	betA ECDH10B_0298	Escherichia coli (strain K12 / DH10B)	556		ECDH10B_0298	betA		1.1.99.1; 1.2.1.8
B1XE70	reviewed	MAO1_ECODH	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38)	maeA ECDH10B_1610	Escherichia coli (strain K12 / DH10B)	565		ECDH10B_1610	maeA		1.1.1.38
B1XEA6	reviewed	LSRG_ECODH	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase (EC 5.3.1.32) (Autoinducer 2-degrading protein LsrG) (AI-2-degrading protein LsrG) (Phospho-(S)-4,5-dihydroxy-2,3-pentanedione isomerase) (Phospho-AI-2 isomerase)	lsrG ECDH10B_1649	Escherichia coli (strain K12 / DH10B)	96		ECDH10B_1649	lsrG		5.3.1.32
B1XED7	reviewed	KDUI_ECODH	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17) (5-keto-4-deoxyuronate isomerase) (DKI isomerase)	kduI ECDH10B_3015	Escherichia coli (strain K12 / DH10B)	278		ECDH10B_3015	kduI		5.3.1.17
B1XEG2	reviewed	PHYDA_ECODH	D-phenylhydantoinase (EC 3.5.2.-) (Hydantoin-utilizing enzyme HyuA)	hyuA ECDH10B_3048	Escherichia coli (strain K12 / DH10B)	461		ECDH10B_3048	hyuA		3.5.2.-
B1XEH6	reviewed	IDI_ECODH	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)	idi ECDH10B_3063	Escherichia coli (strain K12 / DH10B)	182		ECDH10B_3063	idi		5.3.3.2
B1XEJ0	reviewed	GCSP_ECODH	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP ECDH10B_3077	Escherichia coli (strain K12 / DH10B)	957		ECDH10B_3077	gcvP		1.4.4.2
B1XEJ9	reviewed	RPIA_ECODH	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	rpiA ECDH10B_3089	Escherichia coli (strain K12 / DH10B)	219		ECDH10B_3089	rpiA		5.3.1.6
B1XEL0	reviewed	E4PD_ECODH	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	epd ECDH10B_3102	Escherichia coli (strain K12 / DH10B)	339		ECDH10B_3102	epd		1.2.1.72
B1XEL4	reviewed	F16PA_ECODH	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp ECDH10B_4427	Escherichia coli (strain K12 / DH10B)	332		ECDH10B_4427	fbp		3.1.3.11
B1XEM6	reviewed	PYRB_ECODH	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB ECDH10B_4440	Escherichia coli (strain K12 / DH10B)	311		ECDH10B_4440	pyrB		2.1.3.2
B1XEN9	reviewed	AMPA_ECODH	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA ECDH10B_4453	Escherichia coli (strain K12 / DH10B)	503		ECDH10B_4453	pepA		3.4.11.1; 3.4.11.10
B1XET7	reviewed	BETB_ECODH	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)	betB ECDH10B_0299	Escherichia coli (strain K12 / DH10B)	490		ECDH10B_0299	betB		1.2.1.8
B1XEX7	reviewed	AROL_ECODH	Shikimate kinase 2 (SK 2) (EC 2.7.1.71)	aroL ECDH10B_0345	Escherichia coli (strain K12 / DH10B)	174		ECDH10B_0345	aroL		2.7.1.71
B1XEZ4	reviewed	TGT_ECODH	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt ECDH10B_0362	Escherichia coli (strain K12 / DH10B)	375		ECDH10B_0362	tgt		2.4.2.29
B1XF03	reviewed	RISB_ECODH	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH ECDH10B_0371	Escherichia coli (strain K12 / DH10B)	156		ECDH10B_0371	ribH		2.5.1.78
B1XF08	reviewed	DXS_ECODH	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs ECDH10B_0376	Escherichia coli (strain K12 / DH10B)	620		ECDH10B_0376	dxs		2.2.1.7
B1XF88	reviewed	ADD_ECODH	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	add ECDH10B_1756	Escherichia coli (strain K12 / DH10B)	333		ECDH10B_1756	add		3.5.4.4
B1XF93	reviewed	RSXB_ECODH	Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Rsx electron transport complex subunit B)	rsxB ECDH10B_1762	Escherichia coli (strain K12 / DH10B)	192		ECDH10B_1762	rsxB		7.-.-.-
B1XFA4	reviewed	METK_ECODH	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK ECDH10B_3117	Escherichia coli (strain K12 / DH10B)	384		ECDH10B_3117	metK		2.5.1.6
B1XFC3	reviewed	MLTC_ECODH	Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C)	mltC ECDH10B_3138	Escherichia coli (strain K12 / DH10B)	359		ECDH10B_3138	mltC		4.2.2.n1
B1XFJ1	reviewed	DEOC_ECODH	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC ECDH10B_4539	Escherichia coli (strain K12 / DH10B)	259		ECDH10B_4539	deoC		4.1.2.4
B1XFJ3	reviewed	DEOB_ECODH	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB ECDH10B_4541	Escherichia coli (strain K12 / DH10B)	407		ECDH10B_4541	deoB		5.4.2.7
B1XFJ4	reviewed	DEOD_ECODH	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)	deoD ECDH10B_4542	Escherichia coli (strain K12 / DH10B)	239		ECDH10B_4542	deoD		2.4.2.1
B1XFJ6	reviewed	LPLA_ECODH	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)	lplA ECDH10B_4544	Escherichia coli (strain K12 / DH10B)	338		ECDH10B_4544	lplA		6.3.1.20
B1XFK4	reviewed	NCPP_ECODH	Inosine/xanthosine triphosphatase (ITPase/XTPase) (EC 3.6.1.73) (Non-canonical purine NTP phosphatase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase) (NTPase)	yjjX ECDH10B_4552	Escherichia coli (strain K12 / DH10B)	170		ECDH10B_4552	yjjX		3.6.1.73
B1XFK5	reviewed	GPMB_ECODH	Probable phosphoglycerate mutase GpmB (EC 5.4.2.-) (PGAM) (Phosphoglyceromutase)	gpmB ECDH10B_4553	Escherichia coli (strain K12 / DH10B)	215		ECDH10B_4553	gpmB		5.4.2.-
B1XFL6	reviewed	CYOE_ECODH	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)	cyoE ECDH10B_0384	Escherichia coli (strain K12 / DH10B)	296		ECDH10B_0384	cyoE		2.5.1.141
B1XFM4	reviewed	TIG_ECODH	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig ECDH10B_0392	Escherichia coli (strain K12 / DH10B)	432		ECDH10B_0392	tig		5.2.1.8
B1XFM6	reviewed	CLPX_ECODH	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX ECDH10B_0394	Escherichia coli (strain K12 / DH10B)	424		ECDH10B_0394	clpX		
B1XFN2	reviewed	QUEC_ECODH	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC ECDH10B_0400	Escherichia coli (strain K12 / DH10B)	231		ECDH10B_0400	queC		6.3.4.20
B1XFR2	reviewed	HEMH_ECODH	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH ECDH10B_0431	Escherichia coli (strain K12 / DH10B)	320		ECDH10B_0431	hemH		4.98.1.1
B1XFT8	reviewed	SELU_ECODH	tRNA 2-selenouridine synthase (EC 2.9.1.3)	selU ECDH10B_0459	Escherichia coli (strain K12 / DH10B)	364		ECDH10B_0459	selU		2.9.1.3
B1XFU0	reviewed	ALLA_ECODH	Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase) (Ureidoglycolate hydrolase)	allA ECDH10B_0461	Escherichia coli (strain K12 / DH10B)	160		ECDH10B_0461	allA		4.3.2.3
B1XFU1	reviewed	RSXC_ECODH	Ion-translocating oxidoreductase complex subunit C (EC 7.-.-.-) (Rsx electron transport complex subunit C)	rsxC ECDH10B_1763	Escherichia coli (strain K12 / DH10B)	740		ECDH10B_1763	rsxC		7.-.-.-
B1XFU9	reviewed	SYY_ECODH	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS ECDH10B_1771	Escherichia coli (strain K12 / DH10B)	424		ECDH10B_1771	tyrS		6.1.1.1
B1XFV0	reviewed	PDXH_ECODH	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH ECDH10B_1772	Escherichia coli (strain K12 / DH10B)	218		ECDH10B_1772	pdxH		1.4.3.5
B1XFV2	reviewed	ANMK_ECODH	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK ECDH10B_1774	Escherichia coli (strain K12 / DH10B)	369		ECDH10B_1774	anmK		2.7.1.170
B1XFY8	reviewed	SUFS_ECODH	Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase)	sufS ECDH10B_1814	Escherichia coli (strain K12 / DH10B)	406		ECDH10B_1814	sufS		2.8.1.7; 4.4.1.16
B1XG01	reviewed	AROD_ECODH	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD ECDH10B_1829	Escherichia coli (strain K12 / DH10B)	252		ECDH10B_1829	aroD		4.2.1.10
B1XG10	reviewed	PSRP_ECODH	Phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	ppsR ECDH10B_1839	Escherichia coli (strain K12 / DH10B)	277		ECDH10B_1839	ppsR		2.7.11.33; 2.7.4.28
B1XG13	reviewed	SELO_ECODH	Protein adenylyltransferase SelO (EC 2.7.7.108)	selO ECDH10B_1842	Escherichia coli (strain K12 / DH10B)	478		ECDH10B_1842	selO		2.7.7.108
B1XG16	reviewed	BTUD_ECODH	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)	btuD ECDH10B_1845	Escherichia coli (strain K12 / DH10B)	249		ECDH10B_1845	btuD		7.6.2.8
B1XG21	reviewed	SYFA_ECODH	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS ECDH10B_1850	Escherichia coli (strain K12 / DH10B)	327		ECDH10B_1850	pheS		6.1.1.20
