Gene Ontology (GO),NAME
glycosylceramide flippase activity [GO:0140351],YDR093W
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex [GO:0000506],YDR437W;YGR216C;YNL038W;YPL076W;YPL096C-A;YPL175W
glycosylphosphatidylinositol-mannosyltransferase I complex [GO:1990529],YCL052C;YJR013W
glycosylphosphatidylinositol-mannosyltransferase II complex [GO:0120097],YBR004C
glycosyltransferase activity [GO:0016757],YBR243C;YJL137C;YKR058W
glycyl-tRNA aminoacylation [GO:0006426],YBR121C;YPR081C
glyoxalase III activity [GO:0019172],YDR533C;YMR322C;YOR391C;YPL280W
glyoxylate catabolic process [GO:0009436],YNL274C
glyoxylate cycle [GO:0006097],YCL018W;YDL066W;YDL078C;YER065C;YIR031C;YLR174W;YNL009W;YNL117W
glyoxylate reductase (NAD+) activity [GO:0047964],YNL274C
glyoxylate reductase (NADP+) activity [GO:0030267],YNL274C
guanine catabolic process [GO:0006147],YDL238C
guanine deaminase activity [GO:0008892],YDL238C
guanine metabolic process [GO:0046098],YDL238C
guanine nucleotide transmembrane transporter activity [GO:0001409],YDL198C
guanine nucleotide transport [GO:0001408],YDL198C
guanine phosphoribosyltransferase activity [GO:0052657],YDR399W
guanine salvage [GO:0006178],YML035C
guanosine catabolic process [GO:0046115],YLR209C;YMR278W
guanyl-nucleotide exchange factor activity [GO:0005085],YDL100C
guanylate kinase activity [GO:0004385],YDR454C
heme A biosynthetic process [GO:0006784],YER141W;YPL172C;YPL252C
heme binding [GO:0020037],Q0045;YDR178W;YDR256C;YDR402C;YEL039C;YGL055W;YGR088W;YGR234W;YHR007C;YJR048W;YJR078W;YJR137C;YKR066C;YLR164W;YML054C;YMR015C;YMR272C;YOR065W
heme biosynthetic process [GO:0006783],YDL120W;YDL205C;YDR044W;YDR047W;YDR232W;YER014W;YGL040C;YMR056C;YOR176W;YOR278W;YPR058W
heme transport [GO:0015886],YBL030C;YBR085W;YGR192C;YLL001W;YMR056C
heterochromatin [GO:0000792],YDL042C
heterochromatin formation [GO:0031507],YDL042C
hexaprenyldihydroxybenzoate methyltransferase activity [GO:0004395],YOL096C
hexokinase activity [GO:0004396],YFR053C;YGL253W
hexose metabolic process [GO:0019318],YDL246C;YJR159W
hexose transmembrane transport [GO:0008645],YDL245C;YDR342C;YDR343C;YDR345C;YEL069C;YFL011W;YHR092C;YHR096C;YJL214W;YJL219W;YJR158W;YNL318C;YNR072W;YOL156W
hexose transmembrane transporter activity [GO:0015149],YBR241C
hexosyltransferase activity [GO:0016758],YOR002W
high-affinity L-histidine transmembrane transporter activity [GO:0005291],YGR191W
high-affinity iron permease complex [GO:0033573],YMR058W
high-affinity potassium ion transmembrane transporter activity [GO:0140107],YJL129C
high-affinity tryptophan transmembrane transporter activity [GO:0005300],YOL020W
high-affinity zinc transmembrane transporter activity [GO:0000006],YGL255W
histidine biosynthetic process [GO:0000105],YBR248C;YCL030C;YER055C;YFR025C;YGR204W;YIL020C;YIL116W;YOR202W
histidine transport [GO:0015817],YGR191W
histidine-tRNA ligase activity [GO:0004821],YPR033C
histidinol dehydrogenase activity [GO:0004399],YCL030C
histidinol-phosphatase activity [GO:0004401],YFR025C
histidinol-phosphate transaminase activity [GO:0004400],YIL116W
histidyl-tRNA aminoacylation [GO:0006427],YPR033C
histone H3-K4 dimethylation [GO:0044648],YHR119W
histone H3-K4 methylation [GO:0051568],YHR119W
histone H3-K4 monomethylation [GO:0097692],YHR119W
histone H3-K4 trimethylation [GO:0080182],YHR119W
histone H3-K79 methylation [GO:0034729],YDR440W
histone H3K36 methyltransferase activity [GO:0046975],YJL168C
histone H3K36 trimethyltransferase activity [GO:0140955],YJL168C
histone H3K4 methyltransferase activity [GO:0042800],YHR119W
histone H3K4 trimethyltransferase activity [GO:0140999],YHR119W
histone H3K79 methyltransferase activity [GO:0031151],YDR440W
histone H3K79 trimethyltransferase activity [GO:0140956],YDR440W
histone acetyltransferase activity [GO:0004402],YEL066W;YPR193C
histone binding [GO:0042393],YDR440W
histone deacetylase complex [GO:0000118],YOL068C
holo-[acyl-carrier-protein] biosynthetic process [GO:0031108],YPL148C
holo-[acyl-carrier-protein] synthase activity [GO:0008897],YGL154C;YPL148C;YPL231W
holocytochrome-c synthase activity [GO:0004408],YAL039C;YKL087C
homoaconitate hydratase activity [GO:0004409],YDR234W
homocitrate synthase activity [GO:0004410],YDL131W;YDL182W
homocysteine metabolic process [GO:0050667],YPL273W
homoisocitrate dehydrogenase activity [GO:0047046],YIL094C
homoserine O-acetyltransferase activity [GO:0004414],YNL277W
homoserine biosynthetic process [GO:0009090],YDR158W;YER052C;YJR139C
homoserine dehydrogenase activity [GO:0004412],YJR139C
homoserine kinase activity [GO:0004413],YHR025W
homoserine metabolic process [GO:0009092],YHR025W;YNL277W
host cell viral assembly compartment [GO:0072517],YKL212W
hydrogen peroxide catabolic process [GO:0042744],YDR256C;YDR453C;YGR088W;YKR066C;YLR109W
hydrogen peroxide metabolic process [GO:0042743],YFL018C
hydrogen sulfide biosynthetic process [GO:0070814],YFR030W;YGR155W;YJR010W;YJR137C;YKL001C;YPR167C
hydrolase activity [GO:0016787],YDR305C;YGR255C
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]",YLR351C
"hydrolase activity, acting on ester bonds [GO:0016788]",YBR204C;YOR126C
"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",YIL099W
hydroxyacylglutathione hydrolase activity [GO:0004416],YDR272W;YOR040W
hydroxyethylthiazole kinase activity [GO:0004417],YPL214C
hydroxymethylbilane synthase activity [GO:0004418],YDL205C
hydroxymethylfurfural reductase (NADH) activity [GO:0033833],YDL168W;YMR318C
hydroxymethylfurfural reductase (NADPH) activity [GO:0033845],YMR318C
hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420],YLR450W;YML075C
hydroxymethylglutaryl-CoA synthase activity [GO:0004421],YML126C
hydroxymethylpyrimidine kinase activity [GO:0008902],YOL055C;YPL258C;YPR121W
hydroxypyruvate reductase activity [GO:0016618],YNL274C
hyperosmotic response [GO:0006972],YDR040C
hyperosmotic salinity response [GO:0042538],YOL064C
hypoxanthine metabolic process [GO:0046100],YDR399W;YJR133W
hypoxanthine phosphoribosyltransferase activity [GO:0004422],YDR399W;YJR133W
hypoxanthine salvage [GO:0043103],YNL141W
identical protein binding [GO:0042802],Q0130;YBL039C;YBR034C;YBR085W;YBR281C;YBR296C;YCR005C;YDL100C;YDL120W;YDR284C;YDR294C;YER023W;YER070W;YFR044C;YGL047W;YGR240C;YHR013C;YIL074C;YJR103W;YJR143C;YKL088W;YKL103C;YKR072C;YLL001W;YLR211C;YLR245C;YLR258W;YLR328W;YLR350W;YLR386W;YLR432W;YLR438W;YML008C;YML120C;YMR205C;YMR261C;YNR016C;YOL086C;YOL140W;YOR054C;YPR193C
imidazoleglycerol-phosphate dehydratase activity [GO:0004424],YOR202W
imidazoleglycerol-phosphate synthase activity [GO:0000107],YBR248C
incipient cellular bud site [GO:0000131],YBR023C;YPR165W
indole-3-glycerol-phosphate synthase activity [GO:0004425],YKL211C
indoleacetamide hydrolase activity [GO:0043864],YDR242W
"indoleamine 2,3-dioxygenase activity [GO:0033754]",YJR078W
indolepyruvate decarboxylase activity [GO:0047434],YDR380W;YGR087C;YLR044C;YLR134W
initiator methionyl aminopeptidase activity [GO:0004239],YBL091C;YLR244C
inner mitochondrial membrane organization [GO:0007007],YPR140W
inner mitochondrial membrane protein complex [GO:0098800],YGL080W;YGR243W;YHR162W
inorganic cation transmembrane transporter activity [GO:0022890],YOL122C;YOL130W
inorganic diphosphate phosphatase activity [GO:0004427],YBR011C;YMR267W
inorganic phosphate transmembrane transporter activity [GO:0005315],YCR037C;YER053C;YJL198W;YJR077C;YML123C;YNR013C
inosine catabolic process [GO:0006148],YLR209C;YMR278W
inosine nucleosidase activity [GO:0047724],YLR209C
inosine salvage [GO:0006190],YOR155C
inositol biosynthetic process [GO:0006021],YDR287W;YHR046C;YJL153C
inositol heptakisphosphate kinase activity [GO:0000829],YDR017C;YLR410W
inositol hexakisphosphate 1-kinase activity [GO:0052723],YDR017C;YLR410W
inositol hexakisphosphate 3-kinase activity [GO:0052724],YDR017C;YLR410W
inositol hexakisphosphate 4-kinase activity [GO:0000830],YLR410W
inositol hexakisphosphate 5-kinase activity [GO:0000832],YDR017C;YLR410W
inositol hexakisphosphate 6-kinase activity [GO:0000831],YLR410W
inositol hexakisphosphate binding [GO:0000822],YJL012C
inositol hexakisphosphate kinase activity [GO:0000828],YDR017C;YDR173C;YLR410W
inositol metabolic process [GO:0006020],YDR287W;YHR046C;YLR410W
inositol monophosphate 1-phosphatase activity [GO:0008934],YDR287W;YHR046C
inositol monophosphate 3-phosphatase activity [GO:0052832],YDR287W;YHR046C
inositol monophosphate 4-phosphatase activity [GO:0052833],YDR287W;YHR046C
inositol pentakisphosphate 2-kinase activity [GO:0035299],YDR315C
inositol phosphate biosynthetic process [GO:0032958],YDR017C;YDR173C;YDR315C;YLR410W;YPL268W
inositol phosphate catabolic process [GO:0071545],YDR287W;YHR046C
inositol phosphoceramide metabolic process [GO:0006673],YDR072C;YDR367W;YKL004W;YMR272C
inositol phosphoceramide synthase activity [GO:0045140],YDR072C;YKL004W
inositol phosphoceramide synthase complex [GO:0070916],YDR072C;YDR367W;YKL004W
inositol phosphoceramide synthase regulator activity [GO:0070917],YDR367W
inositol phosphorylceramide mannosyltransferase activity [GO:0103064],YBR161W;YPL057C
inositol phosphosphingolipid phospholipase activity [GO:0052712],YER019W
inositol tetrakisphosphate 3-kinase activity [GO:0000824],YDR173C
inositol tetrakisphosphate 6-kinase activity [GO:0000825],YDR173C
"inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]",YDR017C;YDR173C;YLR410W
"inositol-1,4,5-trisphosphate 3-kinase activity [GO:0008440]",YDR173C
"inositol-1,4,5-trisphosphate 6-kinase activity [GO:0000823]",YDR173C
"inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity [GO:0052843]",YLR410W
inositol-3-phosphate synthase activity [GO:0004512],YJL153C
"inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity [GO:0052845]",YLR410W
intein-mediated protein splicing [GO:0016539],YDL185W
intermembrane phospholipid transfer [GO:0120010],YGR170W
intracellular accumulation of glycerol [GO:0006973],YDL022W
intracellular calcium ion homeostasis [GO:0006874],YBR036C;YBR127C;YDR038C;YDR039C;YDR040C;YEL031W;YGL006W;YGL167C;YMR105C
intracellular copper ion homeostasis [GO:0006878],YEL027W;YER053C;YJR040W;YJR104C;YMR058W;YOL122C
intracellular glucose homeostasis [GO:0001678],YCL040W;YDR516C;YFR053C;YGL253W;YLR446W
intracellular iron ion homeostasis [GO:0006879],YCL017C;YDL120W;YDL198C;YDR098C;YDR270W;YDR376W;YEL027W;YER174C;YJR040W;YJR049C;YKL220C;YLL051C;YLR214W;YMR058W;YMR301C;YNR060W;YOR226C;YOR381W;YOR384W;YPL059W;YPL135W
intracellular magnesium ion homeostasis [GO:0010961],YOL130W
intracellular manganese ion homeostasis [GO:0030026],YEL031W;YGL167C;YOL122C
intracellular membrane-bounded organelle [GO:0043231],YDR236C;YDR373W;YGL006W;YKR031C;YLR260W;YMR006C;YMR008C;YNL325C;YOL011W;YOR171C
intracellular monoatomic cation homeostasis [GO:0030003],YBR295W;YDR456W;YLR047C;YLR138W;YMR105C;YOR054C
intracellular monoatomic ion homeostasis [GO:0006873],YDL142C
intracellular potassium ion homeostasis [GO:0030007],YJL129C;YLR138W
intracellular signal transduction [GO:0035556],YKR031C
intracellular sphingolipid homeostasis [GO:0090156],YBR058C-A;YDR062W;YDR508C;YGR038W;YKL212W;YLR350W;YMR296C
intracellular sterol transport [GO:0032366],YDR051C
intracellular triglyceride homeostasis [GO:0035356],YOR245C;YPR139C
intracellular zinc ion homeostasis [GO:0006882],YIL023C;YJR104C;YMR243C;YOR316C
intron homing [GO:0006314],YDL185W
inulin catabolic process [GO:1902927],YIL162W
inulinase activity [GO:0051670],YIL162W
invasive growth in response to glucose limitation [GO:0001403],YCL047C;YDL024C
iron chaperone activity [GO:0034986],YDL120W
iron import into the mitochondrion [GO:0048250],YJL133W;YKR052C
iron ion binding [GO:0005506],YDL171C;YDR297W;YDR402C;YFL058W;YGL055W;YGR060W;YHR007C;YLR056W;YMR009W;YMR015C;YMR272C;YPL135W
iron ion import across cell outer membrane [GO:0098706],YMR058W
iron ion transmembrane transport [GO:0034755],YMR058W;YMR319C
iron ion transmembrane transporter activity [GO:0005381],YJL133W;YKR052C;YMR319C
iron ion transport [GO:0006826],YDL120W;YKL220C;YLL051C;YLR214W;YNR060W;YOL122C;YOL152W;YOR381W;YOR384W
iron-sulfur cluster assembly [GO:0016226],YCL017C;YDL120W;YDR098C;YER174C;YKL192C;YMR301C;YOR226C;YPL059W;YPL135W;YPL252C
iron-sulfur cluster assembly complex [GO:1990229],YCL017C;YDL120W;YDR098C;YER174C;YKL192C;YPL059W;YPL135W;YPL252C
iron-sulfur cluster binding [GO:0051536],YCL017C;YDR098C;YLR304C;YPL252C
iron-sulfur cluster export from the mitochondrion [GO:0140466],YMR301C
iron-sulfur cluster transmembrane transport [GO:1902497],YMR301C
isocitrate dehydrogenase (NAD+) activity [GO:0004449],YIL094C;YNL037C;YOR136W
isocitrate dehydrogenase (NADP+) activity [GO:0004450],YDL066W;YLR174W;YNL009W
isocitrate lyase activity [GO:0004451],YER065C;YPR006C
isocitrate metabolic process [GO:0006102],YDL066W;YIL094C;YLR174W;YNL009W;YNL037C;YOR136W
isoleucine biosynthetic process [GO:0009097],YCL009C;YCL064C;YDR158W;YER086W;YHR208W;YJR016C;YJR139C;YJR148W;YLR355C;YMR108W
isoleucine catabolic process [GO:0006550],YFL018C
isoleucine-tRNA ligase activity [GO:0004822],YBL076C;YPL040C
isoleucyl-tRNA aminoacylation [GO:0006428],YBL076C;YPL040C
isomerase activity [GO:0016853],YKR009C
isopentenyl diphosphate biosynthetic process [GO:0009240],YPL117C
"isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]",YMR208W;YMR220W;YNR043W
isopentenyl-diphosphate delta-isomerase activity [GO:0004452],YJL167W;YPL117C
isoprenoid biosynthetic process [GO:0008299],YBR003W;YHR190W;YJL167W;YLR450W;YML075C;YNR041C;YPL069C
isopropylmalate transmembrane transporter activity [GO:0034658],YKL120W
isopropylmalate transport [GO:0034659],YKL120W
ketol-acid reductoisomerase activity [GO:0004455],YLR355C
ketoreductase activity [GO:0045703],YBR159W
kinase activity [GO:0016301],YAL038W;YBL068W;YER099C;YHL011C;YKL181W;YNL256W;YOL061W;YOR143C;YOR347C
kinetochore [GO:0000776],YPL268W
kynurenic acid biosynthetic process [GO:0034276],YJL060W
kynureninase activity [GO:0030429],YLR231C
kynurenine 3-monooxygenase activity [GO:0004502],YBL098W
kynurenine aminotransferase activity [GO:0036137],YHR137W
kynurenine metabolic process [GO:0070189],YBL098W
kynurenine-oxoglutarate transaminase activity [GO:0016212],YHR137W;YJL060W
lactate biosynthetic process [GO:0019249],YEL071W
lactate catabolic process [GO:1903457],YDL174C;YDL178W
lactate metabolic process [GO:0006089],YML054C
lactoylglutathione lyase activity [GO:0004462],YML004C
lanosterol O-acyltransferase activity [GO:0034738],YCR048W
lanosterol synthase activity [GO:0000250],YHR072W
late endosome [GO:0005770],YBR097W;YDR456W;YIL048W;YMR054W
late endosome membrane [GO:0031902],YOR171C
late endosome to vacuole transport [GO:0045324],YBR097W;YFR021W;YLR240W;YLR360W;YPL120W
late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511],YCR034W;YLR372W
leucine biosynthetic process [GO:0009098],YCL018W;YGL009C;YHR208W;YJR148W;YNL104C;YOR108W
leucine catabolic process [GO:0006552],YDR380W;YFL018C
leucine import across plasma membrane [GO:0098713],YBR068C
leucine-tRNA ligase activity [GO:0004823],YLR382C;YPL160W
leucyl-tRNA aminoacylation [GO:0006429],YLR382C;YPL160W
leukotriene C4 gamma-glutamyl transferase activity [GO:0103068],YLR299W
ligase activity [GO:0016874],YLR239C
linear malto-oligosaccharide phosphorylase activity [GO:0102250],YPR160W
lipase activity [GO:0016298],YKL094W
lipid binding [GO:0008289],Q0130;YLR201C
lipid biosynthetic process [GO:0008610],YDL142C;YGR036C
lipid catabolic process [GO:0016042],YKL140W;YLL012W;YLR020C;YOR081C;YOR126C
lipid droplet [GO:0005811],YBR002C;YBR041W;YBR042C;YBR177C;YBR204C;YBR265W;YDL052C;YDR196C;YGR175C;YGR177C;YGR192C;YHR072W;YIL009W;YIL124W;YJL052W;YJR009C;YKL094W;YKL140W;YKL182W;YKR067W;YKR089C;YLL012W;YLR100W;YML008C;YML059C;YMR101C;YMR110C;YMR165C;YMR246W;YMR313C;YNL169C;YNR008W;YOR081C;YOR245C;YOR317W;YOR377W;YPL206C;YPR139C
lipid droplet organization [GO:0034389],YMR165C;YPR139C
lipid glycosylation [GO:0030259],YLR189C
lipid homeostasis [GO:0055088],YBR204C;YGL205W;YGR110W;YLR099C
lipid metabolic process [GO:0006629],YDR058C;YPR139C
lipid modification [GO:0030258],YOR175C
lipid storage [GO:0019915],YNR008W;YOR245C
lipoate biosynthetic process [GO:0009107],YKL192C;YOR196C
lipoate synthase activity [GO:0016992],YOR196C
lipoate-protein ligase activity [GO:0016979],YJL046W
lipoyl(octanoyl) transferase activity [GO:0033819],YLR239C
lipoyltransferase activity [GO:0017118],YJL046W
long-chain fatty acid biosynthetic process [GO:0042759],YKL182W;YMR207C;YNR016C;YPL231W
long-chain fatty acid catabolic process [GO:0042758],YKL188C;YPL147W
long-chain fatty acid import into cell [GO:0044539],YBR041W;YMR246W;YOR317W
long-chain fatty acid import into peroxisome [GO:0015910],YER015W;YKL188C;YPL147W
long-chain fatty acid metabolic process [GO:0001676],YER015W;YIL009W;YMR246W;YOR317W
long-chain fatty acid transporter activity [GO:0005324],YBR041W;YKL188C;YPL147W
long-chain fatty acid-CoA ligase activity [GO:0004467],YBR041W;YER015W;YIL009W;YMR246W;YOR317W
long-chain fatty-acyl-CoA metabolic process [GO:0035336],YIL009W;YMR246W;YOR317W
low-affinity tryptophan transmembrane transporter activity [GO:0022893],YBR069C
low-affinity zinc ion transmembrane transporter activity [GO:0000007],YLR130C
lysine biosynthetic process [GO:0009085],YIL094C;YIR034C
lysine biosynthetic process via aminoadipic acid [GO:0019878],YBR115C;YDL131W;YDL182W;YDR234W;YGL154C;YGL202W;YHR137W;YIL094C;YIR034C;YJL200C;YNR050C
lysine biosynthetic process via diaminopimelate [GO:0009089],YDR158W;YER052C
lysine-tRNA ligase activity [GO:0004824],YDR037W;YNL073W
lysophosphatidic acid acyltransferase activity [GO:0042171],YGR110W;YKR089C;YLR099C;YOR081C;YPR139C
lysophosphatidic acid phosphatase activity [GO:0052642],YER037W
lysophosphatidylethanolamine acyltransferase activity [GO:0071618],YMR313C
lysophosphatidylserine flippase activity [GO:0180013],YIL048W
lysophospholipase activity [GO:0004622],YML059C;YMR006C;YMR008C;YOL011W
lysyl-tRNA aminoacylation [GO:0006430],YDR037W;YNL073W
lytic vacuole [GO:0000323],YLR360W
mRNA 3'-UTR AU-rich region binding [GO:0035925],YBR046C
mRNA binding [GO:0003729],YBR222C;YDL078C;YDL185W;YDR037W;YDR538W;YGL245W;YGR155W;YGR185C;YHR104W;YHR216W;YIL160C;YIR034C;YJR110W;YKL085W;YLR017W;YLR244C;YLR432W;YML056C;YMR205C;YOR120W;YOR168W;YOR236W;YPL212C;YPR033C
mRNA export from nucleus [GO:0006406],YBR034C
mRNA processing [GO:0006397],YJL133W;YKR052C;YLR382C;YPL212C
mRNA pseudouridine synthesis [GO:1990481],YFL001W;YGL063W;YNL292W;YPL212C
mRNA transcription [GO:0009299],YDR191W;YOR025W
macroautophagy [GO:0016236],YBR097W;YBR128C;YCR068W;YDR173C;YFR021W;YGL167C;YLL001W;YLR211C;YLR240W;YLR305C;YLR360W;YPL120W
magnesium ion binding [GO:0000287],YAL026C;YAL038W;YBL068W;YBR011C;YBR176W;YBR252W;YCL018W;YDL066W;YDL080C;YDR093W;YDR380W;YEL038W;YEL058W;YER055C;YER099C;YFL022C;YGL154C;YGR087C;YGR208W;YGR244C;YGR254W;YHL011C;YHR174W;YIL048W;YIL094C;YJL005W;YKL127W;YKL181W;YKL218C;YLR044C;YLR060W;YLR134W;YLR151C;YLR174W;YMR105C;YMR108W;YMR162C;YMR208W;YMR267W;YMR278W;YMR323W;YNL009W;YNL037C;YNL220W;YNR057C;YOL049W;YOL061W;YOR136W;YOR155C;YOR347C;YOR393W;YPL148C;YPL214C;YPL231W;YPL281C
magnesium ion transmembrane transporter activity [GO:0015095],YOL130W;YOR334W;YPL060W
magnesium ion transport [GO:0015693],YOL130W
maintenance of protein location [GO:0045185],YDR009W
malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471],YKL029C
malate metabolic process [GO:0006108],YDL078C;YKL029C;YKL085W;YOL126C;YPL262W
malate synthase activity [GO:0004474],YIR031C;YNL117W
malate transmembrane transport [GO:0071423],YLR348C
malate transmembrane transporter activity [GO:0015140],YLR348C
malate-aspartate shuttle [GO:0043490],YOR222W;YPL134C;YPR021C
malic enzyme activity [GO:0004470],YKL029C
malonate(1-) transmembrane transporter activity [GO:1901239],YKL120W
malonyl-CoA biosynthetic process [GO:2001295],YMR207C;YNR016C
maltose alpha-glucosidase activity [GO:0032450],YBR299W;YGR287C;YGR292W;YIL172C;YJL216C;YJL221C;YOL157C
maltose catabolic process [GO:0000025],YBR299W;YGR287C;YGR292W;YIL172C;YJL216C;YJL221C;YOL157C
maltose metabolic process [GO:0000023],YBR298C;YDL247W;YGR289C;YJR160C
maltose transmembrane transporter activity [GO:0005363],YDL247W;YJR160C
maltose transport [GO:0015768],YGR289C
maltose:proton symporter activity [GO:0005364],YGR289C
manganese ion binding [GO:0030145],YHR008C;YLR151C;YPL111W
manganese ion transmembrane transporter activity [GO:0005384],YML123C;YOL122C
manganese ion transport [GO:0006828],YGL167C;YGR191W;YML123C;YOL122C
mannan polymerase complex [GO:0000136],YGL038C
mannitol 2-dehydrogenase activity [GO:0050086],YEL070W;YNR073C
mannitol dehydrogenase activity [GO:0046029],YEL070W;YNR073C
mannitol metabolic process [GO:0019594],YEL070W;YNR073C
mannitol transmembrane transport [GO:0015797],YDL245C;YEL069C;YJR158W;YNR072W
mannokinase activity [GO:0019158],YFR053C;YGL253W;YLR446W
mannose catabolic process [GO:0019309],YGL156W
mannose metabolic process [GO:0006013],YCL040W;YFL045C;YFR053C;YGL253W;YLR446W
mannose transmembrane transport [GO:0015761],YHR094C
mannose transmembrane transporter activity [GO:0015578],YDL245C;YDR342C;YDR343C;YDR345C;YEL069C;YFL011W;YHR092C;YHR094C;YHR096C;YJL214W;YJL219W;YJR158W;YMR011W;YNR072W;YOL156W
mannose-1-phosphate guanylyltransferase (GTP) activity [GO:0004475],YDL055C
mannose-6-phosphate isomerase activity [GO:0004476],YER003C
mannose-ethanolamine phosphotransferase activity [GO:0051377],YDR302W;YKL165C;YLL031C
mannosyl diphosphorylinositol ceramide metabolic process [GO:0006676],YBR036C;YBR161W;YDR072C;YPL057C
mannosyl-inositol phosphorylceramide biosynthetic process [GO:0051999],YBR161W;YPL057C
mannosyl-inositol phosphorylceramide metabolic process [GO:0006675],YPL057C
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]",YJR131W;YLR057W
mannosylation [GO:0097502],YBR199W;YBR205W;YDR483W;YJL139C;YKR061W;YNL029C;YOR099W;YPL053C
mannosylphosphate transferase activity [GO:0000031],YPL053C
mannosyltransferase activity [GO:0000030],YBR004C;YBR110W;YBR161W;YBR199W;YBR205W;YCL052C;YJL139C;YKR061W;YNL029C;YNL219C;YPL057C
mannosyltransferase complex [GO:0031501],YBR004C;YBR036C;YBR161W;YPL057C
mating projection tip [GO:0043332],YBR023C;YLR058C;YNL106C;YPL111W;YPR165W
mating projection tip membrane [GO:0070867],YDR093W;YMR162C
mating-type region heterochromatin [GO:0031934],YDR191W
matrix side of mitochondrial inner membrane [GO:0099617],YDR529C
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]",YAL035W;YDL166C
medium-chain fatty acid biosynthetic process [GO:0051792],YBR177C;YMR210W;YPL095C
medium-chain fatty acid catabolic process [GO:0051793],YBR177C;YMR210W;YPL095C
medium-chain fatty acid-CoA ligase activity [GO:0031956],YBR222C;YER015W;YOR317W
meiotic DNA double-strand break formation [GO:0042138],YHR119W
meiotic cell cycle [GO:0051321],YCR010C
meiotic recombination checkpoint signaling [GO:0051598],YDR440W
melatonin binding [GO:1904408],YGR192C;YGR254W;YHR174W;YJL052W;YJR009C;YKL060C;YOL086C;YOR347C
membrane [GO:0016020],YBL030C;YBR038W;YBR199W;YBR241C;YBR298C;YCR011C;YCR024C;YCR024C-A;YCR068W;YDL052C;YDL247W;YDR046C;YDR062W;YDR105C;YDR135C;YDR270W;YDR373W;YDR387C;YDR497C;YDR503C;YDR536W;YEL017C-A;YEL027W;YEL031W;YEL042W;YER005W;YER015W;YER019W;YER026C;YFL055W;YGL077C;YGR020C;YGR032W;YGR036C;YGR143W;YGR202C;YGR260W;YGR289C;YHL036W;YHR026W;YHR190W;YIL002C;YIL013C;YIL166C;YIR032C;YJL012C;YJL091C;YJL130C;YJR110W;YJR131W;YJR160C;YKL094W;YKL140W;YLL001W;YLL012W;YLL015W;YLR020C;YLR056W;YLR189C;YLR240W;YLR260W;YNL029C;YNL038W;YNL054W;YNL106C;YNL267W;YNL268W;YNL270C;YNL275W;YNL280C;YNR056C;YOL075C;YOL103W;YOR109W;YOR161C;YOR171C;YOR175C;YOR245C;YPL053C;YPL189W;YPL234C;YPR026W;YPR113W;YPR159W;YPR165W
membrane disassembly [GO:0030397],YCR068W
membrane fusion priming complex [GO:0120124],YGR209C;YLR043C
membrane insertase activity [GO:0032977],YGR062C
membrane organization [GO:0061024],YLL001W
membrane protein dislocase activity [GO:0140567],YEL031W
membrane raft [GO:0045121],YGL008C;YJL129C;YLR138W
