NAME,ENTRY,Gene Ontology (GO)
YJR149W,P47177,cytoplasm [GO:0005737]; nitronate monooxygenase activity [GO:0018580]
YJR152W,P15365,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; allantoate transmembrane transporter activity [GO:0015124]; dipeptide transmembrane transporter activity [GO:0071916]; allantoate transport [GO:0015719]; dipeptide transport [GO:0042938]; tripeptide transport [GO:0042939]
YJR153W,P47180,extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]
YJR155W,P47182,aryl-alcohol dehydrogenase (NADP+) activity [GO:0047681]; cellular aldehyde metabolic process [GO:0006081]
YJR158W,P47185,cell periphery [GO:0071944]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; fructose transmembrane transporter activity [GO:0005353]; glucose transmembrane transporter activity [GO:0005355]; mannose transmembrane transporter activity [GO:0015578]; carbohydrate transport [GO:0008643]; hexose transmembrane transport [GO:0008645]; mannitol transmembrane transport [GO:0015797]; sorbitol transmembrane transport [GO:0015795]
YJR159W,P35497,D-xylulose reductase activity [GO:0046526]; L-iditol 2-dehydrogenase activity [GO:0003939]; zinc ion binding [GO:0008270]; hexose metabolic process [GO:0019318]; sorbitol catabolic process [GO:0006062]
YJR160C,P0CE00,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]; plasma membrane [GO:0005886]; alpha-glucoside transmembrane transporter activity [GO:0015151]; carbohydrate:proton symporter activity [GO:0005351]; maltose transmembrane transporter activity [GO:0005363]; alpha-glucoside transport [GO:0000017]; carbohydrate transport [GO:0008643]; maltose metabolic process [GO:0000023]
YKL001C,Q02196,"cytoplasm [GO:0005737]; adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; methionine biosynthetic process [GO:0009086]; phosphorylation [GO:0016310]; sulfate assimilation [GO:0000103]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]; sulfur amino acid metabolic process [GO:0000096]"
YKL004W,P36107,endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; inositol phosphoceramide synthase complex [GO:0070916]; inositol phosphoceramide synthase activity [GO:0045140]; inositol phosphoceramide metabolic process [GO:0006673]; sphingolipid biosynthetic process [GO:0030148]
YKL008C,P28496,acyl-CoA ceramide synthase complex [GO:0061576]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear periphery [GO:0034399]; sphingosine N-acyltransferase activity [GO:0050291]; ceramide biosynthetic process [GO:0046513]
YKL016C,P30902,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]; mitochondrion [GO:0005739]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]"
YKL019W,P29703,CAAX-protein geranylgeranyltransferase complex [GO:0005953]; cytoplasm [GO:0005737]; protein farnesyltransferase complex [GO:0005965]; CAAX-protein geranylgeranyltransferase activity [GO:0004662]; protein farnesyltransferase activity [GO:0004660]; protein geranylgeranyltransferase activity [GO:0004661]; peptide pheromone maturation [GO:0007323]; protein farnesylation [GO:0018343]; protein geranylgeranylation [GO:0018344]
YKL024C,P15700,cytoplasm [GO:0005737]; nucleus [GO:0005634]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; UMP kinase activity [GO:0033862]; UMP/dUMP kinase activity [GO:0009041]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; CDP biosynthetic process [GO:0046705]; nucleobase-containing compound metabolic process [GO:0006139]; phosphorylation [GO:0016310]; UDP biosynthetic process [GO:0006225]
YKL026C,P36014,cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; peroxisomal matrix [GO:0005782]; glutathione peroxidase activity [GO:0004602]; phospholipid-hydroperoxide glutathione peroxidase activity [GO:0047066]; thioredoxin-dependent peroxiredoxin activity [GO:0140824]; cellular response to oxidative stress [GO:0034599]; peroxisome organization [GO:0007031]
YKL029C,P36013,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malic enzyme activity [GO:0004470]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; oxaloacetate decarboxylase activity [GO:0008948]; amino acid metabolic process [GO:0006520]; malate metabolic process [GO:0006108]; pyruvate metabolic process [GO:0006090]
YKL035W,P32861,cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; uridylyltransferase activity [GO:0070569]; UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]; (1->6)-beta-D-glucan biosynthetic process [GO:0006078]; glycogen biosynthetic process [GO:0005978]; glycogen metabolic process [GO:0005977]; trehalose biosynthetic process [GO:0005992]; UDP-glucose metabolic process [GO:0006011]
YKL055C,P35731,"mitochondrion [GO:0005739]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]"
YKL060C,P14540,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; fructose-bisphosphate aldolase activity [GO:0004332]; melatonin binding [GO:1904408]; zinc ion binding [GO:0008270]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
YKL067W,P36010,cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; GTP biosynthetic process [GO:0006183]; nucleoside triphosphate biosynthetic process [GO:0009142]; phosphorylation [GO:0016310]; UTP biosynthetic process [GO:0006228]
YKL069W,P36088,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; L-methionine-(R)-S-oxide reductase activity [GO:0033745]; cellular response to oxidative stress [GO:0034599]
YKL080W,P31412,"fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; proton-transporting V-type ATPase complex [GO:0033176]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]; ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; endosomal lumen acidification [GO:0048388]; Golgi lumen acidification [GO:0061795]; proton transmembrane transport [GO:1902600]; vacuolar acidification [GO:0007035]"
YKL085W,P17505,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; L-malate dehydrogenase activity [GO:0030060]; mRNA binding [GO:0003729]; aerobic respiration [GO:0009060]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]
YKL087C,Q00873,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]; cytochrome c-heme linkage [GO:0018063]
YKL088W,P36076,CoA-synthesizing protein complex [GO:1990143]; cytoplasm [GO:0005737]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; catalytic activity [GO:0003824]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; coenzyme A biosynthetic process [GO:0015937]
YKL094W,P28321,cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; acylglycerol lipase activity [GO:0047372]; lipase activity [GO:0016298]; serine hydrolase activity [GO:0017171]; triglyceride catabolic process [GO:0019433]; triglyceride metabolic process [GO:0006641]
YKL103C,P14904,Cvt complex [GO:0034270]; cytoplasm [GO:0005737]; fungal-type vacuole [GO:0000324]; identical protein binding [GO:0042802]; metalloaminopeptidase activity [GO:0070006]; zinc ion binding [GO:0008270]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; protein transport [GO:0015031]; proteolysis [GO:0006508]
YKL104C,P14742,carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]; fructose 6-phosphate metabolic process [GO:0006002]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; glutamine metabolic process [GO:0006541]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]; UDP-N-acetylglucosamine metabolic process [GO:0006047]
YKL106W,Q01802,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; 2-oxoglutarate metabolic process [GO:0006103]; aspartate catabolic process [GO:0006533]; aspartate metabolic process [GO:0006531]; biosynthetic process [GO:0009058]; glutamate metabolic process [GO:0006536]
YKL120W,P32332,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; isopropylmalate transmembrane transporter activity [GO:0034658]; malonate(1-) transmembrane transporter activity [GO:1901239]; oxaloacetate transmembrane transporter activity [GO:0015131]; sulfate transmembrane transporter activity [GO:0015116]; transmembrane transporter activity [GO:0022857]; isopropylmalate transport [GO:0034659]; oxaloacetate transport [GO:0015729]; sulfate transport [GO:0008272]
YKL127W,P33401,cytoplasm [GO:0005737]; cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; carbohydrate metabolic process [GO:0005975]; galactose catabolic process [GO:0019388]; glucose 1-phosphate metabolic process [GO:0019255]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glycogen biosynthetic process [GO:0005978]; trehalose biosynthetic process [GO:0005992]; UDP-glucose metabolic process [GO:0006011]
YKL132C,P36001,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; acid-amino acid ligase activity [GO:0016881]; ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; folic acid-containing compound biosynthetic process [GO:0009396]; one-carbon metabolic process [GO:0006730]
YKL140W,P34163,lipid droplet [GO:0005811]; membrane [GO:0016020]; sterol esterase activity [GO:0004771]; cellular lipid metabolic process [GO:0044255]; lipid catabolic process [GO:0016042]; sterol metabolic process [GO:0016125]
YKL141W,P33421,"mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; quinone binding [GO:0048038]; cellular respiration [GO:0045333]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; protein insertion into mitochondrial inner membrane [GO:0045039]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; tricarboxylic acid cycle [GO:0006099]"
YKL146W,P36062,fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; vacuolar membrane [GO:0005774]; L-glutamine transmembrane transporter activity [GO:0015186]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-tyrosine transmembrane transporter activity [GO:0005302]; amino acid transmembrane export from vacuole [GO:0032974]; amino acid transmembrane transport [GO:0003333]; proline transport [GO:0015824]
YKL148C,Q00711,"mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749]; mitochondrion [GO:0005739]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; fumarate reductase (menaquinone) [GO:0102040]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]; cellular respiration [GO:0045333]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; tricarboxylic acid cycle [GO:0006099]"
YKL150W,P36060,"mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; cytochrome-b5 reductase activity, acting on NAD(P)H [GO:0004128]; NADH dehydrogenase activity [GO:0003954]; cellular response to oxidative stress [GO:0034599]; ergosterol biosynthetic process [GO:0006696]"
YKL152C,P00950,"cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]; phosphoglycerate mutase activity [GO:0004619]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]"
YKL165C,P36051,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; Golgi membrane [GO:0000139]; vacuolar membrane [GO:0005774]; mannose-ethanolamine phosphotransferase activity [GO:0051377]; ATP transport [GO:0015867]; cell wall organization [GO:0071555]; GPI anchor biosynthetic process [GO:0006506]
YKL174C,P36029,endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; polyamine transmembrane transporter activity [GO:0015203]; amino acid transport [GO:0006865]; polyamine transport [GO:0015846]
YKL181W,P32895,cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; ribose phosphate diphosphokinase complex [GO:0002189]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; phosphorylation [GO:0016310]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]
YKL182W,P07149,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; fatty acid synthase complex [GO:0005835]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; (3R)-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity [GO:0004319]; fatty acid synthase activity [GO:0004312]; fatty-acyl-CoA synthase activity [GO:0004321]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyltransferase activity [GO:0016409]; long-chain fatty acid biosynthetic process [GO:0042759]"
YKL184W,P08432,cytoplasm [GO:0005737]; ornithine decarboxylase activity [GO:0004586]; pantothenate biosynthetic process [GO:0015940]; putrescine biosynthetic process [GO:0009446]; putrescine biosynthetic process from ornithine [GO:0033387]
YKL188C,P34230,ATP-binding cassette (ABC) transporter complex [GO:0043190]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; long-chain fatty acid transporter activity [GO:0005324]; fatty acid beta-oxidation [GO:0006635]; fatty acid transmembrane transport [GO:1902001]; fatty-acyl-CoA transport [GO:0015916]; long-chain fatty acid catabolic process [GO:0042758]; long-chain fatty acid import into peroxisome [GO:0015910]; peroxisome organization [GO:0007031]; very long-chain fatty acid catabolic process [GO:0042760]
YKL192C,P32463,iron-sulfur cluster assembly complex [GO:1990229]; mitochondrial iron-sulfur cluster assembly complex [GO:0099128]; mitochondrion [GO:0005739]; respirasome [GO:0070469]; acyl binding [GO:0000035]; acyl carrier activity [GO:0000036]; iron-sulfur cluster assembly [GO:0016226]; lipoate biosynthetic process [GO:0009107]
YKL194C,P07236,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]; mitochondrial threonyl-tRNA aminoacylation [GO:0070159]
YKL211C,P00937,anthranilate synthase complex [GO:0005950]; cytoplasm [GO:0005737]; anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]; glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]
YKL212W,P32368,"cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; host cell viral assembly compartment [GO:0072517]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; SPOTS complex [GO:0035339]; phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity [GO:0052629]; phosphatidylinositol-3-phosphate phosphatase activity [GO:0004438]; phosphatidylinositol-4-phosphate phosphatase activity [GO:0043812]; intracellular sphingolipid homeostasis [GO:0090156]; phosphatidylinositol dephosphorylation [GO:0046856]"
YKL215C,P28273,cytoplasm [GO:0005737]; 5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; glutathione metabolic process [GO:0006749]
YKL216W,P28272,cytoplasm [GO:0005737]; dihydroorotate dehydrogenase (fumarate) activity [GO:1990663]; dihydroorotate dehydrogenase activity [GO:0004152]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]
YKL217W,P36035,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; secondary active monocarboxylate transmembrane transporter activity [GO:0015355]; selenite:proton symporter activity [GO:0097079]; sialic acid transmembrane transporter activity [GO:0015136]; plasma membrane lactate transport [GO:0035879]; plasma membrane pyruvate transport [GO:0006849]; plasma membrane selenite transport [GO:0097080]
YKL218C,P36007,ATP binding [GO:0005524]; D-serine ammonia-lyase activity [GO:0008721]; L-serine ammonia-lyase activity [GO:0003941]; magnesium ion binding [GO:0000287]; pyridoxal phosphate binding [GO:0030170]; serine racemase activity [GO:0030378]; threo-3-hydroxyaspartate ammonia-lyase activity [GO:0030848]; threonine racemase activity [GO:0018114]; amino acid metabolic process [GO:0006520]; cellular modified amino acid catabolic process [GO:0042219]
YKL220C,P36033,"fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; ferric-chelate reductase (NADPH) activity [GO:0052851]; ferric-chelate reductase activity [GO:0000293]; metal ion binding [GO:0046872]; copper ion import [GO:0015677]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]"
YKR009C,Q02207,peroxisome [GO:0005777]; (3R)-hydroxyacyl-CoA dehydrogenase (NAD) activity [GO:0106386]; 3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; enoyl-CoA hydratase activity [GO:0004300]; isomerase activity [GO:0016853]; fatty acid beta-oxidation [GO:0006635]
YKR031C,P36126,endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; prospore membrane [GO:0005628]; N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phospholipase D activity [GO:0004630]; ascospore-type prospore assembly [GO:0031321]; cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; intracellular signal transduction [GO:0035556]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid catabolic process [GO:0009395]; phospholipid metabolic process [GO:0006644]
YKR039W,P19145,COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; fungal-type vacuole lumen [GO:0000328]; multivesicular body [GO:0005771]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; beta-alanine transmembrane transporter activity [GO:0001761]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-proline transmembrane transporter activity [GO:0015193]; polyamine transmembrane transporter activity [GO:0015203]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; polyamine transport [GO:0015846]
YKR043C,P36136,cytoplasm [GO:0005737]; nucleus [GO:0005634]; oxidoreductase activity [GO:0016491]; sedoheptulose-bisphosphatase activity [GO:0050278]; carbohydrate metabolic process [GO:0005975]; ribose phosphate biosynthetic process [GO:0046390]
YKR052C,P23500,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; ferrous iron transmembrane transporter activity [GO:0015093]; iron ion transmembrane transporter activity [GO:0005381]; iron import into the mitochondrion [GO:0048250]; mRNA processing [GO:0006397]
YKR053C,P23501,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; dihydrosphingosine-1-phosphate phosphatase activity [GO:0070780]; sphingosine-1-phosphate phosphatase activity [GO:0042392]; phospholipid dephosphorylation [GO:0046839]; sphingolipid biosynthetic process [GO:0030148]
YKR058W,P36143,cytoplasm [GO:0005737]; glycogenin glucosyltransferase activity [GO:0008466]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity [GO:0102751]; glycogen biosynthetic process [GO:0005978]
YKR061W,P33550,"Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; alpha-1,2-mannosyltransferase activity [GO:0000026]; mannosyltransferase activity [GO:0000030]; cell wall mannoprotein biosynthetic process [GO:0000032]; mannosylation [GO:0097502]; protein N-linked glycosylation [GO:0006487]"
YKR066C,P00431,mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; response to reactive oxygen species [GO:0000302]
YKR067W,P36148,cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; glycerol-3-phosphate O-acyltransferase activity [GO:0004366]; glycerone-phosphate O-acyltransferase activity [GO:0016287]; sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity [GO:0102420]; CDP-diacylglycerol biosynthetic process [GO:0016024]; phospholipid biosynthetic process [GO:0008654]; regulation of triglyceride metabolic process [GO:0090207]
YKR069W,P36150,nucleus [GO:0005634]; uroporphyrin-III C-methyltransferase activity [GO:0004851]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]; sulfate assimilation [GO:0000103]
YKR072C,P36024,chromatin [GO:0000785]; CoA-synthesizing protein complex [GO:1990143]; nucleus [GO:0005634]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; catalytic activity [GO:0003824]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; protein serine/threonine phosphatase inhibitor activity [GO:0004865]; coenzyme A biosynthetic process [GO:0015937]; regulation of mitotic cell cycle [GO:0007346]; response to salt stress [GO:0009651]
YKR076W,P36156,cytoplasm [GO:0005737]; glutathione dehydrogenase (ascorbate) activity [GO:0045174]; glutathione transferase activity [GO:0004364]; cell wall organization [GO:0071555]; glutathione metabolic process [GO:0006749]
YKR080W,Q02046,cytosol [GO:0005829]; nucleus [GO:0005634]; methylenetetrahydrofolate dehydrogenase (NAD+) activity [GO:0004487]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; folic acid-containing compound biosynthetic process [GO:0009396]; one-carbon metabolic process [GO:0006730]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]
YKR089C,P36165,lipid droplet [GO:0005811]; calcium-independent phospholipase A2 activity [GO:0047499]; lysophosphatidic acid acyltransferase activity [GO:0042171]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]; cell budding [GO:0007114]; phospholipid metabolic process [GO:0006644]; sporulation resulting in formation of a cellular spore [GO:0030435]; triglyceride catabolic process [GO:0019433]; triglyceride mobilization [GO:0006642]
YKR093W,P32901,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]; peptide transmembrane transporter activity [GO:1904680]; tripeptide transmembrane transporter activity [GO:0042937]; dipeptide import across plasma membrane [GO:0140206]; dipeptide transport [GO:0042938]; peptide transport [GO:0015833]; protein transport [GO:0015031]; tripeptide transport [GO:0042939]
YKR097W,P10963,cytosol [GO:0005829]; ATP binding [GO:0005524]; phosphoenolpyruvate carboxykinase (ATP) activity [GO:0004612]; gluconeogenesis [GO:0006094]
YLL001W,P54861,cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; heme transport [GO:0015886]; macroautophagy [GO:0016236]; membrane organization [GO:0061024]; mitochondrial fission [GO:0000266]; mitochondrion inheritance [GO:0000001]; mitochondrion organization [GO:0007005]; peroxisome fission [GO:0016559]; peroxisome organization [GO:0007031]; protein homooligomerization [GO:0051260]; vesicle organization [GO:0016050]
YLL012W,Q07804,lipid droplet [GO:0005811]; membrane [GO:0016020]; sterol esterase activity [GO:0004771]; lipid catabolic process [GO:0016042]; sterol metabolic process [GO:0016125]
YLL015W,P14772,"endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; bilirubin transmembrane transporter activity [GO:0015127]; cadmium ion transmembrane transporter activity [GO:0015086]; bilirubin transport [GO:0015723]; cadmium ion transport [GO:0015691]; transmembrane transport [GO:0055085]; vacuole fusion, non-autophagic [GO:0042144]"
YLL018C,P04802,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; aspartyl-tRNA aminoacylation [GO:0006422]
YLL018C-A,Q3E731,cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; copper ion binding [GO:0005507]; metal ion transport [GO:0030001]; mitochondrial cytochrome c oxidase assembly [GO:0033617]
