Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q12297	reviewed	TAF3_YEAST	Transcription initiation factor TFIID subunit 3 (TAFII-47) (TAFII47) (TBP-associated factor 3) (TBP-associated factor 47 kDa)	TAF3 TAF47 YPL011C LPA6C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	353	nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]; chromatin binding [GO:0003682]; protein heterodimerization activity [GO:0046982]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription by RNA polymerase II [GO:0006366]
Q12300	reviewed	RGT2_YEAST	High glucose sensor RGT2 (Low-affinity glucose receptor RGT2) (Low-affinity transporter-like sensor RGT2) (Restores glucose transport protein 2)	RGT2 YDL138W D2160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	763	cell periphery [GO:0071944]; membrane [GO:0016020]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; carbohydrate transport [GO:0008643]; glucose mediated signaling pathway [GO:0010255]
Q12303	reviewed	YPS3_YEAST	Aspartic proteinase yapsin-3 (EC 3.4.23.-)	YPS3 YLR121C L2964 L9233.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	508	extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]; aspartic-type endopeptidase activity [GO:0004190]; fungal-type cell wall organization [GO:0031505]; proteolysis [GO:0006508]
Q12305	reviewed	RDL1_YEAST	Thiosulfate:glutathione sulfurtransferase (TST) (EC 2.8.1.-) (Rhodanese-like protein 1)	RDL1 YOR285W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	139	endoplasmic reticulum [GO:0005783]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; thiosulfate sulfurtransferase activity [GO:0004792]
Q12306	reviewed	SMT3_YEAST	Ubiquitin-like protein SMT3	SMT3 YDR510W D9719.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101	condensed nuclear chromosome [GO:0000794]; nucleus [GO:0005634]; septin ring [GO:0005940]; identical protein binding [GO:0042802]; protein tag activity [GO:0031386]; ubiquitin-like protein ligase binding [GO:0044389]; protein sumoylation [GO:0016925]
Q12309	reviewed	CLF1_YEAST	Pre-mRNA-splicing factor CLF1 (Crooked neck-like factor 1) (PRP19-associated complex protein 77) (Synthetic lethal with CDC40 protein 3)	CLF1 NTC77 SYF3 YLR117C L2952	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	687	chromatin [GO:0000785]; post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type post-mRNA release spliceosomal complex [GO:0071008]; U2-type prespliceosome [GO:0071004]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; cis assembly of pre-catalytic spliceosome [GO:0000354]; DNA replication initiation [GO:0006270]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal complex assembly [GO:0000245]
Q12311	reviewed	NTO1_YEAST	NuA3 HAT complex component NTO1	NTO1 YPR031W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	748	cytoplasm [GO:0005737]; NuA3 histone acetyltransferase complex [GO:0033100]; NuA3a histone acetyltransferase complex [GO:1990467]; NuA3b histone acetyltransferase complex [GO:1990468]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; chromatin remodeling [GO:0006338]; DNA-templated transcription [GO:0006351]; regulation of transcription by RNA polymerase II [GO:0006357]
Q12315	reviewed	GLE1_YEAST	mRNA export factor GLE1 (Nuclear pore protein GLE1) (Nucleoporin GLE1) (RNA export factor GLE1)	GLE1 BRR3 RSS1 YDL207W D1049	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	538	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; enzyme activator activity [GO:0008047]; inositol hexakisphosphate binding [GO:0000822]; phospholipid binding [GO:0005543]; translation initiation factor binding [GO:0031369]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein transport [GO:0015031]; regulation of translational initiation [GO:0006446]; regulation of translational termination [GO:0006449]; tRNA export from nucleus [GO:0006409]
Q12316	reviewed	YG13B_YEAST	Transposon Ty1-GR3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-GR3 YGRCTy1-3 POL YGR161C-D G7025	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; RNA binding [GO:0003723]; RNA nuclease activity [GO:0004540]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; retrotransposition [GO:0032197]
Q12317	reviewed	MSB4_YEAST	GTPase-activating protein MSB4 (Multicopy suppressor of bud emergence 4)	MSB4 YOL112W HRC492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; incipient cellular bud site [GO:0000131]; polarisome [GO:0000133]; GTPase activator activity [GO:0005096]; establishment of cell polarity [GO:0030010]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; exocytosis [GO:0006887]; formin-nucleated actin cable assembly [GO:0070649]; vesicle targeting [GO:0006903]
Q12320	reviewed	GLO4_YEAST	Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)	GLO4 GER1 YOR040W O2758 OR26.33	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	285	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]
Q12321	reviewed	MED1_YEAST	Mediator of RNA polymerase II transcription subunit 1 (Mediator complex subunit 1)	MED1 YPR070W YP9499.25 YPR063W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566	core mediator complex [GO:0070847]; mediator complex [GO:0016592]; nucleus [GO:0005634]; transcription coregulator activity [GO:0003712]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; RNA polymerase II preinitiation complex assembly [GO:0051123]
Q12324	reviewed	YVC1_YEAST	Calcium channel YVC1 (TRP homolog) (Yeast vacuolar conductance protein 1)	YVC1 YOR087W YOR088W YOR3151W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	675	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; vacuole-mitochondrion membrane contact site [GO:1990816]; calcium channel activity [GO:0005262]; calcium-activated cation channel activity [GO:0005227]; potassium channel activity [GO:0005267]; sodium channel activity [GO:0005272]; voltage-gated monoatomic ion channel activity [GO:0005244]; calcium ion transmembrane import into cytosol [GO:0097553]; intracellular monoatomic cation homeostasis [GO:0030003]
Q12328	reviewed	TIM22_YEAST	Mitochondrial import inner membrane translocase subunit TIM22	TIM22 YDL217C D0884	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	207	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]; mitochondrion targeting sequence binding [GO:0030943]; protein transmembrane transporter activity [GO:0008320]; protein insertion into mitochondrial inner membrane [GO:0045039]
Q12330	reviewed	RUXE_YEAST	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SME1 YOR159C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94	commitment complex [GO:0000243]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4 snRNP [GO:0005687]; U4/U6 snRNP [GO:0071001]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; RNA binding [GO:0003723]; splicing factor binding [GO:1990935]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]
Q12333	reviewed	FRE7_YEAST	Ferric/cupric reductase transmembrane component 7 (EC 1.16.1.9) (Ferric-chelate reductase 7)	FRE7 YOL152W AOB629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	620	plasma membrane [GO:0005886]; ferric-chelate reductase (NADPH) activity [GO:0052851]; ferric-chelate reductase activity [GO:0000293]; metal ion binding [GO:0046872]; superoxide-generating NAD(P)H oxidase activity [GO:0016175]; copper ion import [GO:0015677]; iron ion transport [GO:0006826]; reductive iron assimilation [GO:0033215]
Q12334	reviewed	SCM3_YEAST	Protein SCM3 (Suppressor of chromosome missegregation protein 3)	SCM3 YDL139C D2155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	223	condensed chromosome, centromeric region [GO:0000779]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; CENP-A containing nucleosome binding [GO:0097030]; histone binding [GO:0042393]; chromosome segregation [GO:0007059]; G2/M transition of mitotic cell cycle [GO:0000086]; kinetochore assembly [GO:0051382]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; protein localization to chromosome, centromeric region [GO:0071459]
Q12337	reviewed	YG21B_YEAST	Transposon Ty2-GR1 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY2B-GR1 YGRCTy2-1 POL YGR038C-D/YGR038C-C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1770	cytoplasm [GO:0005737]; nucleus [GO:0005634]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition [GO:0032196]
Q12339	reviewed	UTP23_YEAST	rRNA-processing protein UTP23 (U three protein 23) (U3 small nucleolar RNA-associated protein 23) (U3 snoRNA-associated protein 23)	UTP23 YOR004W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; small ribosomal subunit rRNA binding [GO:0070181]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]
Q12341	reviewed	HAT1_YEAST	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	HAT1 YPL001W LPA16W YP8132.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	374	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; histone acetyltransferase complex [GO:0000123]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393]; histone H4 acetyltransferase activity [GO:0010485]; DNA repair [GO:0006281]; subtelomeric heterochromatin formation [GO:0031509]
Q12343	reviewed	MED4_YEAST	Mediator of RNA polymerase II transcription subunit 4 (Mediator complex subunit 4)	MED4 YOR174W O3630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	284	core mediator complex [GO:0070847]; mediator complex [GO:0016592]; nucleus [GO:0005634]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription coregulator activity [GO:0003712]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription by RNA polymerase II [GO:0006366]
Q12344	reviewed	GYP5_YEAST	GTPase-activating protein GYP5	GYP5 YPL249C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	894	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi-associated vesicle [GO:0005798]; incipient cellular bud site [GO:0000131]; plasma membrane [GO:0005886]; GTPase activator activity [GO:0005096]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
Q12349	reviewed	ATP14_YEAST	ATP synthase subunit H, mitochondrial	ATP14 YLR295C L8003.20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	124	mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; cristae formation [GO:0042407]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; proton motive force-driven ATP synthesis [GO:0015986]; proton transmembrane transport [GO:1902600]
Q12355	reviewed	PST1_YEAST	Cell wall mannoprotein PST1 (Haze protective factor 2) (Protoplast secreted protein 1)	PST1 HPF2 YDR055W D4214 YD9609.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]; fungal-type cell wall organization [GO:0031505]
Q12361	reviewed	GPR1_YEAST	G protein-coupled receptor GPR1	GPR1 YDL035C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	961	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; glucose binding [GO:0005536]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; detection of sucrose stimulus [GO:0009731]; G protein-coupled receptor signaling pathway [GO:0007186]; glucose mediated signaling pathway [GO:0010255]; hexose mediated signaling [GO:0009757]; invasive growth in response to glucose limitation [GO:0001403]; pseudohyphal growth [GO:0007124]; sucrose mediated signaling [GO:0009745]
Q12362	reviewed	RIB2_YEAST	Bifunctional protein RIB2 [Includes: tRNA pseudouridine(32) synthase, cytoplasmic (EC 5.4.99.28) (tRNA pseudouridine synthase 8) (tRNA pseudouridylate synthase 8) (tRNA-uridine isomerase 8); Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase)]	RIB2 PUS8 YOL066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	cytoplasm [GO:0005737]; 2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity [GO:0043723]; diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]; metal ion binding [GO:0046872]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; riboflavin biosynthetic process [GO:0009231]; tRNA pseudouridine synthesis [GO:0031119]
Q12363	reviewed	WTM1_YEAST	Transcriptional modulator WTM1	WTM1 YOR230W YOR50-20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	cytoplasm [GO:0005737]; nucleus [GO:0005634]; Rpd3L complex [GO:0033698]; Rpd3L-Expanded complex [GO:0070210]; histone binding [GO:0042393]; transcription corepressor activity [GO:0003714]; chromatin remodeling [GO:0006338]; maintenance of protein location in nucleus [GO:0051457]; meiotic cell cycle [GO:0051321]; negative regulation of silent mating-type cassette heterochromatin formation [GO:0061186]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein import into nucleus [GO:0006606]; regulation of DNA-templated transcription [GO:0006355]
Q12365	reviewed	BBP1_YEAST	Spindle pole component BBP1 (BFR1-binding protein 1)	BBP1 YPL255W P0745	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	central plaque of spindle pole body [GO:0005823]; cytoplasm [GO:0005737]; membrane [GO:0016020]; mitotic nuclear membrane microtubule tethering complex [GO:0106084]; nuclear envelope [GO:0005635]; spindle pole body [GO:0005816]; structural molecule activity [GO:0005198]; mitotic spindle pole body localization [GO:1990608]; protein localization to spindle pole body [GO:0071988]; spindle pole body duplication [GO:0030474]
Q12366	reviewed	NDJ1_YEAST	Non-disjunction protein 1 (Telomere-associated meiosis protein 1)	NDJ1 TAM1 YOL104C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	352	chromosome, telomeric region [GO:0000781]; meiotic spindle pole body [GO:0035974]; nucleus [GO:0005634]; telomeric DNA binding [GO:0042162]; homologous chromosome pairing at meiosis [GO:0007129]; meiotic attachment of telomere to nuclear envelope [GO:0070197]; meiotic telomere clustering [GO:0045141]; positive regulation of maintenance of meiotic sister chromatid cohesion, centromeric [GO:2000711]; reciprocal meiotic recombination [GO:0007131]; regulation of reciprocal meiotic recombination [GO:0010520]
Q12373	reviewed	HIF1_YEAST	HAT1-interacting factor 1	HIF1 YLL022C L1205	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	chromosome, telomeric region [GO:0000781]; histone acetyltransferase complex [GO:0000123]; nucleus [GO:0005634]; histone binding [GO:0042393]; protein homodimerization activity [GO:0042803]; nucleosome assembly [GO:0006334]; subtelomeric heterochromatin formation [GO:0031509]
Q12377	reviewed	RPN6_YEAST	26S proteasome regulatory subunit RPN6 (Proteasome non-ATPase subunit 4)	RPN6 NAS4 YDL097C D2381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434	proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; structural molecule activity [GO:0005198]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q12379	reviewed	SWM1_YEAST	Anaphase-promoting complex subunit SWM1 (Anaphase-promoting complex subunit 13) (Spore wall maturation protein 1)	SWM1 APC13 YDR260C YD9320A.11 YD9320A.11c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170	anaphase-promoting complex [GO:0005680]; nucleus [GO:0005634]; anaphase-promoting complex assembly [GO:1904824]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; ascospore wall assembly [GO:0030476]; cell division [GO:0051301]; protein ubiquitination [GO:0016567]; regulation of meiotic cell cycle [GO:0051445]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic metaphase/anaphase transition [GO:0030071]
Q12380	reviewed	ATG5_YEAST	Autophagy protein 5	ATG5 APG5 YPL149W P2601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294	Atg12-Atg5-Atg16 complex [GO:0034274]; autophagosome [GO:0005776]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; phagophore [GO:0061908]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; transferase complex [GO:1990234]; vacuole-isolation membrane contact site [GO:0120095]; cargo receptor ligand activity [GO:0140355]; enzyme activator activity [GO:0008047]; hydrolase activity [GO:0016787]; autophagosome assembly [GO:0000045]; cellular response to nitrogen starvation [GO:0006995]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]; nucleophagy [GO:0044804]; piecemeal microautophagy of the nucleus [GO:0034727]; protein transport [GO:0015031]
Q12382	reviewed	DGK1_YEAST	CTP-dependent diacylglycerol kinase 1 (EC 2.7.1.174) (Diglyceride kinase 1) (DAG kinase 1) (High-copy suppressor of SLY1 defect protein 1)	DGK1 HSD1 YOR311C O6111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear membrane [GO:0031965]; ATP-dependent diacylglycerol kinase activity [GO:0004143]; CTP-dependent diacylglycerol kinase activity [GO:0141035]; phosphatidic acid biosynthetic process [GO:0006654]; phosphorylation [GO:0016310]; regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:2001210]; vesicle-mediated transport [GO:0016192]
Q12383	reviewed	TRM13_YEAST	tRNA:m(4)X modification enzyme TRM13 (EC 2.1.1.225) (tRNA methylase 13)	TRM13 YOL125W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	476	cytoplasm [GO:0005737]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; tRNA 2'-O-methyltransferase activity [GO:0106050]; tRNA methyltransferase activity [GO:0008175]; tRNA methylation [GO:0030488]; tRNA nucleoside ribose methylation [GO:0002128]
Q12386	reviewed	ARP8_YEAST	Actin-like protein ARP8	ARP8 YOR141C YOR3348C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Ino80 complex [GO:0031011]; nucleus [GO:0005634]; ATP binding [GO:0005524]; mRNA binding [GO:0003729]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; mitotic recombination [GO:0006312]; regulation of DNA-templated transcription [GO:0006355]
Q12389	reviewed	DBP10_YEAST	ATP-dependent RNA helicase DBP10 (EC 3.6.4.13) (DEAD box protein 10)	DBP10 YDL031W D2770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	995	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; assembly of large subunit precursor of preribosome [GO:1902626]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; rRNA processing [GO:0006364]
Q12396	reviewed	EMP46_YEAST	Protein EMP46 (46 kDa endomembrane protein)	EMP46 YLR080W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi membrane [GO:0000139]; carbohydrate binding [GO:0030246]; mannose binding [GO:0005537]; metal ion binding [GO:0046872]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]
Q12400	reviewed	TRM10_YEAST	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase) (tRNA(m1G9)MTase)	TRM10 YOL093W O0926	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	293	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; tRNA (guanine) methyltransferase activity [GO:0016423]; tRNA (guanosine(9)-N1)-methyltransferase activity [GO:0052905]; tRNA binding [GO:0000049]; tRNA methylation [GO:0030488]; tRNA modification [GO:0006400]; tRNA N1-guanine methylation [GO:0002939]
Q12402	reviewed	YOP1_YEAST	Protein YOP1 (YIP1 partner protein 1) (YPT-interacting protein 2)	YOP1 YIP2 YPR028W YP9367.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	180	cell periphery [GO:0071944]; cellular bud [GO:0005933]; cellular bud tip [GO:0005934]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; endoplasmic reticulum inheritance [GO:0048309]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum tubular network organization [GO:0071786]; ER-dependent peroxisome organization [GO:0032581]; nuclear pore complex assembly [GO:0051292]; response to endoplasmic reticulum stress [GO:0034976]; vacuole organization [GO:0007033]; vesicle-mediated transport [GO:0016192]
Q12404	reviewed	MPD1_YEAST	Protein disulfide-isomerase MPD1 (EC 5.3.4.1)	MPD1 YOR288C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	318	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; fungal-type vacuole [GO:0000324]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase (glutathione) activity [GO:0019153]; protein-disulfide reductase activity [GO:0015035]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]
