Entry,Gene Ontology (GO)
Q01852,"extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; PAM complex, Tim23 associated import motor [GO:0001405]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; ATP binding [GO:0005524]; protein-folding chaperone binding [GO:0051087]; protein-macromolecule adaptor activity [GO:0030674]; intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]"
Q01855,cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]
Q01896,mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; ABC-type sodium transporter activity [GO:0140679]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type ion transporter activity [GO:0015662]; P-type potassium transmembrane transporter activity [GO:0008556]; P-type sodium transporter activity [GO:0008554]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transmembrane transport [GO:0034220]; potassium ion transport [GO:0006813]; sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]
Q01919,cell cortex [GO:0005938]; cellular bud neck [GO:0005935]; spindle pole body [GO:0005816]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; mitotic spindle orientation checkpoint signaling [GO:0031578]; phosphorylation [GO:0016310]; protein localization to spindle pole body [GO:0071988]
Q01926,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; magnesium ion transmembrane transporter activity [GO:0015095]; mitochondrial magnesium ion transmembrane transport [GO:0045016]
Q01939,"nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]; protein domain specific binding [GO:0019904]; ubiquitin protein ligase binding [GO:0031625]; chromatin remodeling [GO:0006338]; nonfunctional rRNA decay [GO:0070651]; nucleotide-excision repair [GO:0006289]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; proteasome regulatory particle assembly [GO:0070682]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]"
Q02046,cytosol [GO:0005829]; nucleus [GO:0005634]; methylenetetrahydrofolate dehydrogenase (NAD+) activity [GO:0004487]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; folic acid-containing compound biosynthetic process [GO:0009396]; one-carbon metabolic process [GO:0006730]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]
Q02100,"cytosol [GO:0005829]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; mitogen-activated protein kinase binding [GO:0051019]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription corepressor activity [GO:0003714]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]"
Q02159,CUE1-UBC7 ubiquitin-conjugating enzyme complex [GO:1990389]; cytosol [GO:0005829]; Doa10p ubiquitin ligase complex [GO:0000837]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]; chromatin organization [GO:0006325]; fungal-type cell wall organization [GO:0031505]; protein ubiquitination [GO:0016567]; response to cadmium ion [GO:0046686]; ubiquitin-dependent ERAD pathway [GO:0030433]
Q02199,nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nuclear pore cytoplasmic filaments [GO:0044614]; identical protein binding [GO:0042802]; nuclear localization sequence binding [GO:0008139]; RNA binding [GO:0003723]; structural constituent of nuclear pore [GO:0017056]; nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; ribosomal large subunit export from nucleus [GO:0000055]; RNA export from nucleus [GO:0006405]; telomere tethering at nuclear periphery [GO:0034398]; tRNA export from nucleus [GO:0006409]
Q02201,"cortical endoplasmic reticulum [GO:0032541]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; plasma membrane [GO:0005886]; lipid binding [GO:0008289]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transfer activity [GO:0120015]; sterol transporter activity [GO:0015248]; endocytosis [GO:0006897]; exocytosis [GO:0006887]; maintenance of cell polarity [GO:0030011]; phospholipid transport [GO:0015914]; piecemeal microautophagy of the nucleus [GO:0034727]; sterol homeostasis [GO:0055092]; sterol metabolic process [GO:0016125]; sterol transport [GO:0015918]"
Q02205,cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; membrane raft [GO:0045121]; Ragulator complex [GO:0071986]; cellular response to amino acid stimulus [GO:0071230]; cholesterol homeostasis [GO:0042632]; endocytic recycling [GO:0032456]; lysosome organization [GO:0007040]; microautophagy [GO:0016237]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of TOR signaling [GO:0032008]; protein localization to vacuole [GO:0072665]; protein transport [GO:0015031]; regulation of receptor recycling [GO:0001919]; vacuolar acidification [GO:0007035]
Q02207,peroxisome [GO:0005777]; (3R)-hydroxyacyl-CoA dehydrogenase (NAD) activity [GO:0106386]; 3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; enoyl-CoA hydratase activity [GO:0004300]; isomerase activity [GO:0016853]; fatty acid beta-oxidation [GO:0006635]
Q02256,cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]; preribosome binding [GO:1990275]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; ascospore wall assembly [GO:0030476]; dephosphorylation [GO:0016311]; meiotic cell cycle [GO:0051321]; positive regulation of autophagosome assembly [GO:2000786]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]
Q02260,"catalytic step 2 spliceosome [GO:0071013]; commitment complex [GO:0000243]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; spliceosomal tri-snRNP complex [GO:0097526]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4 snRNP [GO:0005687]; U4/U6 snRNP [GO:0071001]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; 7-methylguanosine cap hypermethylation [GO:0036261]; mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; U2-type prespliceosome assembly [GO:1903241]"
Q02326,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]
Q02336,"ADA complex [GO:0140671]; chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; SAGA-type complex [GO:0070461]; SLIK (SAGA-like) complex [GO:0046695]; chromatin binding [GO:0003682]; phosphatidylserine binding [GO:0001786]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; rDNA heterochromatin formation [GO:0000183]; regulation of histone acetylation [GO:0035065]; regulation of transcription by RNA polymerase II [GO:0006357]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; subtelomeric heterochromatin formation [GO:0031509]"
Q02354,"90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]; identical protein binding [GO:0042802]; snoRNA binding [GO:0030515]; U3 snoRNA binding [GO:0034511]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]"
Q02455,nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; mRNA binding [GO:0003729]; promoter-terminator loop anchoring activity [GO:0140586]; ribonucleoprotein complex binding [GO:0043021]; structural constituent of nuclear pore [GO:0017056]; DNA repair [GO:0006281]; mRNA export from nucleus [GO:0006406]; negative regulation of protein import into nucleus during spindle assembly checkpoint [GO:1901925]; nuclear mRNA surveillance [GO:0071028]; nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; protein localization to nuclear pore [GO:0090204]; telomere tethering at nuclear periphery [GO:0034398]
Q02457,"chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; chromatin insulator sequence binding [GO:0043035]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded telomeric DNA binding [GO:0003691]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; telomeric DNA binding [GO:0042162]; cell cycle [GO:0007049]; negative regulation of telomere maintenance via telomerase [GO:0032211]; snoRNA transcription by RNA polymerase II [GO:0001015]; telomere maintenance via telomere lengthening [GO:0010833]"
Q02486,"mitochondrial chromosome [GO:0000262]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; mitochondrial chromosome packaging [GO:0090139]; mitochondrial genome maintenance [GO:0000002]; mitochondrion inheritance [GO:0000001]"
Q02555,"nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; double-stranded RNA binding [GO:0003725]; ribonuclease III activity [GO:0004525]; box C/D RNA processing [GO:0034963]; box H/ACA RNA processing [GO:0034964]; chromatin organization [GO:0006325]; regulation of fungal-type cell wall organization [GO:0060237]; rRNA processing [GO:0006364]; rRNA transcription [GO:0009303]; termination of RNA polymerase II transcription [GO:0006369]; termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]; U1 snRNA 3'-end processing [GO:0034473]; U4 snRNA 3'-end processing [GO:0034475]; U5 snRNA 3'-end processing [GO:0034476]"
Q02574,"checkpoint clamp complex [GO:0030896]; chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; DNA binding [GO:0003677]; DNA damage checkpoint signaling [GO:0000077]; double-strand break repair via homologous recombination [GO:0000724]; meiotic DNA integrity checkpoint signaling [GO:0044778]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; nucleotide-excision repair [GO:0006289]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]"
Q02629,nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nuclear pore cytoplasmic filaments [GO:0044614]; molecular adaptor activity [GO:0060090]; nuclear localization sequence binding [GO:0008139]; RNA binding [GO:0003723]; structural constituent of nuclear pore [GO:0017056]; mRNA export from nucleus [GO:0006406]; mRNA export from nucleus in response to heat stress [GO:0031990]; NLS-bearing protein import into nucleus [GO:0006607]; nucleocytoplasmic transport [GO:0006913]; positive regulation of DNA-templated transcription [GO:0045893]; post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; protein localization to nuclear inner membrane [GO:0036228]; RNA export from nucleus [GO:0006405]; telomere tethering at nuclear periphery [GO:0034398]
Q02630,nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nuclear pore cytoplasmic filaments [GO:0044614]; ATPase binding [GO:0051117]; identical protein binding [GO:0042802]; nuclear localization sequence binding [GO:0008139]; RNA binding [GO:0003723]; structural constituent of nuclear pore [GO:0017056]; mRNA export from nucleus [GO:0006406]; nuclear pore organization [GO:0006999]; nucleocytoplasmic transport [GO:0006913]; poly(A)+ mRNA export from nucleus [GO:0016973]; post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; ribosomal large subunit export from nucleus [GO:0000055]; RNA export from nucleus [GO:0006405]; telomere tethering at nuclear periphery [GO:0034398]; tRNA export from nucleus [GO:0006409]
Q02642,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]; unfolded protein binding [GO:0051082]; 'de novo' cotranslational protein folding [GO:0051083]; cotranslational protein targeting to membrane [GO:0006613]; macroautophagy [GO:0016236]; protein transport [GO:0015031]
Q02647,cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; nuclear envelope [GO:0005635]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; peroxisomal importomer complex [GO:1990429]; dynein intermediate chain binding [GO:0045505]; protein-containing complex binding [GO:0044877]; establishment of mitotic spindle localization [GO:0040001]; establishment of mitotic spindle orientation [GO:0000132]; mRNA transport [GO:0051028]; nuclear migration along microtubule [GO:0030473]; nuclear pore complex assembly [GO:0051292]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
Q02685,cytoplasm [GO:0005737]; nuclear replication fork [GO:0043596]; nucleus [GO:0005634]; RecQ family helicase-topoisomerase III complex [GO:0031422]; enzyme activator activity [GO:0008047]; four-way junction DNA binding [GO:0000400]; single-stranded DNA binding [GO:0003697]; cell division [GO:0051301]; DNA damage response [GO:0006974]; DNA topological change [GO:0006265]; double-strand break repair via homologous recombination [GO:0000724]; meiotic cell cycle [GO:0051321]; mitotic sister chromatid cohesion [GO:0007064]; positive regulation of DNA binding [GO:0043388]
Q02724,nuclear envelope [GO:0005635]; nucleolus [GO:0005730]; nucleus [GO:0005634]; cysteine-type peptidase activity [GO:0008234]; deSUMOylase activity [GO:0016929]; protein-containing complex binding [GO:0044877]; G2/M transition of mitotic cell cycle [GO:0000086]; protein desumoylation [GO:0016926]; proteolysis [GO:0006508]
Q02725,"autophagosome membrane [GO:0000421]; cell cortex [GO:0005938]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]; vacuolar transporter chaperone complex [GO:0033254]; calmodulin binding [GO:0005516]; inositol hexakisphosphate binding [GO:0000822]; engulfment of target by autophagosome [GO:0061736]; intracellular phosphate ion homeostasis [GO:0030643]; microautophagy [GO:0016237]; polyphosphate biosynthetic process [GO:0006799]; polyphosphate metabolic process [GO:0006797]; vacuolar transport [GO:0007034]; vacuole fusion, non-autophagic [GO:0042144]"
Q02732,"COMA complex [GO:0000817]; kinetochore [GO:0000776]; nucleus [GO:0005634]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic cell cycle [GO:0051321]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein localization to chromosome, centromeric region [GO:0071459]"
Q02733,"cytoplasm [GO:0005737]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; oxoglutarate dehydrogenase complex [GO:0045252]; dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; microtubule binding [GO:0008017]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; meiotic sister chromatid segregation [GO:0045144]; microtubule anchoring [GO:0034453]; microtubule nucleation [GO:0007020]; mitotic recombination [GO:0006312]; positive regulation of mitotic cell cycle [GO:0045931]"
Q02767,cytosol [GO:0005829]; endosome [GO:0005768]; ESCRT I complex [GO:0000813]; late endosome membrane [GO:0031902]; protein-containing complex binding [GO:0044877]; ATP export [GO:1904669]; protein targeting to membrane [GO:0006612]; protein targeting to vacuole [GO:0006623]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
Q02773,mitochondrial matrix [GO:0005759]; mitochondrial ribonuclease P complex [GO:0030678]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ribonuclease P complex [GO:0030677]; ribonuclease P activity [GO:0004526]; cytoplasmic translation [GO:0002181]; mitochondrial tRNA 5'-end processing [GO:0097745]; mitochondrion organization [GO:0007005]; mRNA processing [GO:0006397]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA processing [GO:0006396]; tRNA 5'-leader removal [GO:0001682]
Q02774,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mating projection tip [GO:0043332]; unfolded protein binding [GO:0051082]; COPII-coated vesicle budding [GO:0090114]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein folding [GO:0006457]; protein transport [GO:0015031]
Q02775,spliceosomal complex [GO:0005681]; U2-type post-spliceosomal complex [GO:0071021]; pre-mRNA 3'-splice site binding [GO:0030628]; zinc ion binding [GO:0008270]; generation of catalytic spliceosome for second transesterification step [GO:0000350]
Q02776,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; identical protein binding [GO:0042802]; mitochondrion targeting sequence binding [GO:0030943]; intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial inner membrane [GO:0045039]; regulation of mitochondrial membrane permeability [GO:0046902]
Q02784,"iron-sulfur cluster assembly complex [GO:1990229]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 2 iron, 2 sulfur cluster binding [GO:0051537]; disulfide oxidoreductase activity [GO:0015036]; metal ion binding [GO:0046872]; cellular response to oxidative stress [GO:0034599]; intracellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]; protein maturation by [2Fe-2S] cluster transfer [GO:0106034]; protein maturation by [4Fe-4S] cluster transfer [GO:0106035]; protein maturation by iron-sulfur cluster transfer [GO:0097428]; response to osmotic stress [GO:0006970]"
Q02785,cell periphery [GO:0071944]; plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; organic acid transmembrane transporter activity [GO:0005342]; organic acid transport [GO:0015849]
Q02792,"Las1 complex [GO:0090730]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase II termination complex [GO:0110103]; 5'-3' RNA exonuclease activity [GO:0004534]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; mRNA processing [GO:0006397]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; nuclear mRNA surveillance [GO:0071028]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear-transcribed mRNA catabolic process [GO:0000956]; positive regulation of termination of RNA polymerase II transcription [GO:1904595]; rRNA processing [GO:0006364]; sno(s)RNA processing [GO:0043144]; termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]; termination of RNA polymerase II transcription, poly(A)-coupled [GO:0030846]"
Q02793,"nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; Ski complex [GO:0055087]; defense response to virus [GO:0051607]; mRNA catabolic process [GO:0006402]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; protein-containing complex assembly [GO:0065003]; protein-DNA complex assembly [GO:0065004]; reciprocal meiotic recombination [GO:0007131]"
Q02794,nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein kinase activator activity [GO:0030295]; glucose metabolic process [GO:0006006]; nicotinamide riboside biosynthetic process [GO:0071590]; nicotinic acid riboside biosynthetic process [GO:0071592]; regulation of transcription by RNA polymerase II [GO:0006357]; response to salt stress [GO:0009651]; signal transduction [GO:0007165]
Q02795,endoplasmic reticulum membrane [GO:0005789]; oligosaccharyltransferase complex [GO:0008250]; protein N-linked glycosylation [GO:0006487]
Q02804,cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; Golgi to plasma membrane protein transport [GO:0043001]; intracellular protein transport [GO:0006886]; protein localization to Golgi apparatus [GO:0034067]; response to endoplasmic reticulum stress [GO:0034976]
Q02805,cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]; cellular response to glucose stimulus [GO:0071333]; positive regulation of receptor internalization [GO:0002092]; response to xenobiotic stimulus [GO:0009410]; ubiquitin-dependent endocytosis [GO:0070086]
Q02821,cytoplasm [GO:0005737]; cytosol [GO:0005829]; NLS-dependent protein nuclear import complex [GO:0042564]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; disordered domain specific binding [GO:0097718]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein-containing complex binding [GO:0044877]; import into nucleus [GO:0051170]; NLS-bearing protein import into nucleus [GO:0006607]; proteasome localization [GO:0031144]; protein import into nucleus [GO:0006606]; protein targeting to membrane [GO:0006612]
Q02884,cytoplasm [GO:0005737]; elongator holoenzyme complex [GO:0033588]; nucleoplasm [GO:0005654]; transcription elongation factor complex [GO:0008023]; identical protein binding [GO:0042802]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of translation [GO:0006417]; tRNA wobble uridine modification [GO:0002098]
Q02887,"cytosol [GO:0005829]; endosome [GO:0005768]; extrinsic component of membrane [GO:0019898]; fungal-type vacuole membrane [GO:0000329]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4-phosphate binding [GO:0070273]; autophagy of mitochondrion [GO:0000422]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; macroautophagy [GO:0016236]; nucleophagy [GO:0044804]; piecemeal microautophagy of the nucleus [GO:0034727]; protein lipidation [GO:0006497]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; vesicle organization [GO:0016050]"
Q02888,INA complex [GO:1990524]; mitochondrial inner membrane [GO:0005743]; mitochondrial inner membrane assembly complex [GO:1990677]; mitochondrion [GO:0005739]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]
Q02890,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; PNGase complex [GO:0120125]; metal ion binding [GO:0046872]; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity [GO:0000224]; protein deglycosylation [GO:0006517]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; ubiquitin-dependent glycoprotein ERAD pathway [GO:0097466]
Q02892,"cytoplasm [GO:0005737]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; RNA binding [GO:0003723]; assembly of large subunit precursor of preribosome [GO:1902626]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]"
Q02896,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; dihydroceramidase activity [GO:0071633]; phytoceramidase activity [GO:0070774]; ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514]
Q02908,"cytoplasm [GO:0005737]; elongator holoenzyme complex [GO:0033588]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; tRNA binding [GO:0000049]; tRNA uridine(34) acetyltransferase activity [GO:0106261]; regulation of translation [GO:0006417]; tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation [GO:0002926]; tRNA wobble uridine modification [GO:0002098]"
Q02931,"90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; rDNA heterochromatin [GO:0033553]; small-subunit processome [GO:0032040]; t-UTP complex [GO:0034455]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; U3 snoRNA binding [GO:0034511]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; positive regulation of rRNA processing [GO:2000234]; positive regulation of transcription by RNA polymerase I [GO:0045943]"
Q02933,cytosol [GO:0005829]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; vacuolar lumen [GO:0005775]; vacuole [GO:0005773]; ribonuclease T2 activity [GO:0033897]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; apoptotic process [GO:0006915]; cell morphogenesis [GO:0000902]; RNA catabolic process [GO:0006401]
